Rk,Player,Sh,SoT,SoT%,Club,ClubCountryCode,ClubContinent
266,Jeremy Doku,3,1,33.3,1.eng Manchester City,eng,Europe
268,David Doud?ra,4,0,0.0,1.cz Slavia Prague,cz,Europe
269,DÂsirÂ DouÂ,13,8,61.5,1.fr PSG,fr,Europe
271,Deroy Duarte,3,2,66.7,1.bg Ludogorets,bg,Europe
272,Laros Duarte,3,3,100.0,1.hu PuskÂ s Akad.,hu,Europe
273,Denzel Dumfries,5,2,40.0,1.it Inter,it,Europe
276,Edin D?eko,3,0,0.0,2.de Schalke 04,de,Europe
278,Anthony Elanga,3,3,100.0,1.eng Newcastle,eng,Europe
282,Nico Elvedi,3,0,0.0,1.de Gladbach,de,Europe
283,Breel Embolo,10,5,50.0,1.fr Rennes,fr,Europe
284,Julio Enciso,8,1,12.5,1.fr Strasbourg,fr,Europe
285,Endrick,3,0,0.0,1.fr Lyon,fr,Europe
290,Stephen EustÂ quio,4,1,25.0,1.pt Porto,pt,Europe
292,Saeid Ezatolahi,6,2,33.3,1.ae Al-Ahli Dubai FC,ae,Non-Europe
293,Eberechi Eze,5,0,0.0,1.eng Arsenal,eng,Europe
300,Abdul Fatawu Issahaku,3,0,0.0,2.eng Leicester City,eng,Europe
304,Abbosbek Fayzullayev,3,2,66.7,1.tr Ba?ak?ehir,tr,Europe
305,Jo?o FÂlix,6,1,16.7,1.sa Al-Nassr,sa,Non-Europe
307,Bruno Fernandes,9,3,33.3,1.eng Manchester Utd,eng,Europe
308,Enzo FernÂ ndez,12,4,33.3,1.eng Chelsea,eng,Europe
309,Matias Fernandez-Pardo,3,0,0.0,1.fr Lille,fr,Europe
310,?lvaro Fidalgo,3,2,66.7,1.es Real Betis,es,Europe
312,Seko Fofana,5,1,20.0,1.pt Porto,pt,Europe
318,Alex Freeman,4,1,25.0,1.es Villarreal,es,Europe
324,Cody Gakpo,10,6,60.0,1.eng Liverpool,eng,Europe
