Rk,Player,Club,MP,Min
116,Anas Badawi,1.jo Al-Faisaly,0,
117,Nour Bani Attiah,1.jo Al-Faisaly,0,
118,Mohammad Al-Dawud,1.jo Al-Wehdat SC,1,3
119,Abdallah Al-Fakhouri,1.jo Al-Wehdat SC,0,
120,Odeh Al-Fakhouri,1.eg Pyramids FC,3,148
121,Ihsan Haddad,1.jo Al-Hussein SC,3,260
122,Amer Jamous,1.iq Al-Zawra'a SC,1,15
123,Mahmoud Al-Mardi,1.jo Al-Hussein SC,3,130
124,Abdallah Nasib,1.iq Al-Zawra'a SC,3,260
125,Salim Obaid,1.jo Al-Hussein SC,3,21
126,Ali Olwan,1.qa Al-Sailiya SC,3,268
127,Nizar Al Rashdan,1.qa Qatar SC,3,255
128,Noor Al Rawabdeh,1.my Selangor FA,3,270
129,Saed Al-Rosan,1.jo Al-Hussein SC,1,10
130,Ibrahim Sabra,1.hr Lokomotiva,,
131,Ibrahim Sadeh,1.iq Al-Karma,0,
132,Sharara,1.ma Raja Casablanca,2,2
133,Musa Al-Taamari,1.fr Rennes,3,215
134,Mohammad Taha,1.jo Al-Hussein SC,0,
135,Michael Amir Murillo,1.tr Beşiktaş,3,270
136,Andrés Andrade Cedeño,1.at LASK,3,270
137,Yoel Bárcenas,1.mx Mazatlán,3,249
138,César Blackman,1.sk Slovan Bratislava,2,178
139,Adalberto Carrasquilla,1.mx UNAM,0,
140,José Córdoba,2.eng Norwich City,3,270
141,Erick Davis,1.pa Plaza Amador,2,4
142,Ismael Díaz,1.mx León,2,37
143,Fidel Escobar,1.cr Saprissa,1,90
144,José Fajardo,1.ec Univ Católica,3,155
145,Edgardo Fariña,1.ru Nizhny Novgorod,0,
146,Aníbal Godoy,1.us San Diego FC,1,1
147,Jorge Gutiérrez,1.ve Dep. La Guaira,1,87
148,Carlos Harvey,1.us Minnesota Utd,3,267
149,Azarías Londoño,1.ec Univ Católica,3,56
150,José Luis Rodríguez,1.mx FC Juárez,3,233
151,Cristian Martínez,1.il Kiryat Shmona,3,242
152,Luis Mejía,1.uy Nacional,0,
153,Roderick Miller,1.az Turan Tovuz,0,
154,Orlando Mosquera,1.sa Al-Fayha,3,270
155,Alberto Quintero,1.pa Plaza Amador,1,3
156,Jiovany Ramos,1.ve Puerto Cabello,2,166
157,Tomás Rodríguez,1.cr Saprissa,2,46
158,César Samudio,1.hn Marathón,0,
159,Cecilio Waterman,1.cl U Concepción,2,76
160,César Yanis,1.cl Cobresal,0,
161,Jeremy Antonisse,1.gr AE Kifisia,2,75
162,Juninho Bacuna,1.nl Volendam,3,254
163,Leandro Bacuna,2.tr 76 Iğdır Belediyespor,3,270
164,Riechedly Bazoer,1.tr Konyaspor,1,90
165,Tyrick Bodak,1.nl Telstar,0,
166,Joshua Brenet,1.tr Kayserispor,2,179
167,Tahith Chong,2.eng Sheffield United,3,247
168,Livano Comenencia,1.ch Zürich,3,233
169,Trevor Doornbusch,2.nl VVV-Venlo,0,
170,Roshon van Eijma,2.nl RKC Waalwijk,1,15
171,Kevin Felida,2.nl Den Bosch,0,
172,Sherel Floranus,1.nl Zwolle,3,270
173,Deveron Fonville,1.nl NEC Nijmegen,3,241
174,Juriën Gaari,2.sa Abha,2,166
175,Kenji Gorré,1.il Maccabi Haifa,1,16
176,Sontje Hansen,2.eng Middlesbrough,1,45
177,Gervane Kastaneer,1.my Terengganu City,3,30
178,Brandley Kuwas,1.nl Volendam,1,1
179,Jürgen Locadia,2.us Miami FC,3,235
180,Jearl Margaritha,2.be Beveren,2,41
181,Ar'jany Martha,3.eng Rotherham,0,
182,Tyrese Noslin,1.nl Telstar,1,14
183,Armando Obispo,1.nl PSV,3,270
184,Godfried Roemeratoe,2.nl RKC Waalwijk,1,7
185,Eloy Room,2.us Miami FC,3,270
186,Shurandy Sambo,1.nl Sparta R.,1,1
187,Yusuf Abdurisag,1.qa Al-Wakrah,2,98
188,Mahmoud Abunada,1.qa Al Rayyan SC,3,270
189,Akram Afif,1.qa Al Sadd,3,238
190,Homam Ahmed,2.es Cultural Leonesa,2,122
191,Ahmed Alaaeldin,1.qa Al Rayyan SC,2,43
192,Almoez Ali,1.qa Al Duhail SC,1,19
193,Meshaal Barsham,1.qa Al Sadd,0,
194,Karim Boudiaf,1.qa Al Duhail SC,2,102
195,Sultan Al-Brake,1.qa Al Duhail SC,2,141
196,Ahmed Fathy,1.qa Al-Arabi,3,150
197,Jassem Gaber,1.qa Al Rayyan SC,3,149
198,Ahmed Al-Ganehi,1.qa Al-Gharafa Sports Club,1,36
199,Abdulaziz Hatem,1.qa Al Rayyan SC,1,45
200,Hassan Al-Haydos,1.qa Al Sadd,2,57
201,Al-Hashmi Al-Hussain,1.qa Al-Arabi,1,32
202,Tahsin Jamshid,1.qa Al Duhail SC,0,
203,Edmilson Junior,1.qa Al Duhail SC,3,210
204,Boualem Khoukhi,1.qa Al Sadd,3,270
205,Issa Laye,1.qa Al-Arabi,3,270
206,Assim Madibo,1.qa Al-Wakrah,2,131
207,Mohamed Manai,1.qa Al-Shamal Sports Club,3,69
208,Lucas Mendes,1.qa Al-Wakrah,1,4
209,Mohammed Muntari,1.qa Al-Gharafa Sports Club,0,
210,Ayoub Al-Oui,1.qa Al-Gharafa Sports Club,2,149
211,Ró-Ró,1.qa Al Sadd,3,270
212,Salah Zakaria,1.qa Al Duhail SC,0,
213,Kosta Barbarouses,1.au Western Sydney,0,
214,Lachlan Bayliss,1.au Newcastle Jets,0,
215,Joe Bell,1.no Viking,3,243
216,Tyler Bindon,2.eng Sheffield United,3,97
217,Michael Boxall,1.us Minnesota Utd,3,207
218,Liberato Cacace,2.eng Wrexham,3,220
219,Max Crocombe,2.eng Millwall,3,270
220,Callan Elliot,1.au Auckland FC,1,13
221,Matt Garbett,3.eng Peterborough,,
222,Elijah Just,1.sct Motherwell,3,264
223,Callum McCowatt,1.dk Silkeborg,3,159
224,Ben Old,2.fr Saint-Étienne,3,93
225,Alex Paulsen,1.pl Lechia Gdańsk,0,
226,Tim Payne,1.au Wellington,3,224
227,Nando Pijnaker,1.au Auckland FC,0,
228,Jesse Randall,1.au Auckland FC,3,61
229,Logan Rogerson,1.au Auckland FC,0,
230,Alex Rufer,1.au Wellington,0,
231,Sarpreet Singh,1.au Wellington,3,209
232,Tommy Smith,5.eng Braintree Town,0,
233,Marko Stamenic,2.eng Swansea City,3,269
234,Finn Surman,1.us Portland Timbers,3,270
235,Ryan Thomas,1.nl Zwolle,3,83
236,Francis de Vries,1.au Auckland FC,2,18
237,Ben Waine,3.eng Port Vale,0,
238,Chris Wood,1.eng Nottingham,3,270
239,Michael Woud,1.au Auckland FC,0,
240,Lukáš Červ,1.cz Viktoria Plzeň,2,163
241,Štěpán Chaloupek,1.cz Slavia Prague,1,90
242,Tomáš Chorý,1.cz Slavia Prague,2,31
243,Mojmír Chytil,1.cz Slavia Prague,1,7
244,Vladimír Coufal,1.de Hoffenheim,3,270
245,Vladimír Darida,1.cz Hradec Králové,1,54
246,David Douděra,1.cz Slavia Prague,1,90
247,Adam Hložek,1.de Hoffenheim,3,156
248,Tomáš Holeš,1.cz Slavia Prague,2,153
249,Lukáš Horníček,1.pt Braga,0,
250,Robin Hranáč,1.de Hoffenheim,3,270
251,David Jurásek,1.cz Slavia Prague,0,
252,Matej Kovar,1.nl PSV,3,270
253,Ladislav Krejčí,1.eng Wolves,3,270
254,Jan Kuchta,1.cz Sparta Prague,0,
255,Lukáš Provod,1.cz Slavia Prague,3,122
256,Michal Sadílek,1.cz Slavia Prague,3,183
257,Patrik Schick,1.de Leverkusen,3,180
258,Hugo Sochůrek,1.cz Sparta Prague,0,
259,Alexandr Sojka,1.cz Viktoria Plzeň,3,141
260,Tomáš Souček,1.eng West Ham,3,137
261,Jindřich Staněk,1.cz Slavia Prague,0,
262,Pavel Šulc,1.fr Lyon,3,189
263,Denis Višinský,1.cz Viktoria Plzeň,1,55
264,Jaroslav Zelený,1.cz Sparta Prague,2,126
265,David Zima,1.cz Slavia Prague,1,13
266,Saud Abdulhamid,1.fr Lens,3,269
267,Abdulelah Al-Amri,1.sa Al-Nassr,,
268,Nawaf Al Aqidi,1.sa Al-Nassr,0,
269,Nawaf Boushal,1.sa Al-Nassr,2,91
270,Firas Al-Buraikan,1.sa Al-Ahli,3,238
271,Nasser Al-Dawsari,1.sa Al-Hilal,3,207
272,Salem Al-Dawsari,1.sa Al-Hilal,3,245
273,Khalid Al Ghannam,1.sa Al-Ettifaq,1,1
274,Abdullah Al-Hamdan,1.sa Al-Nassr,3,71
275,Moteb Al-Harbi,1.sa Al-Hilal,3,188
276,Alaa Al Hejji,1.sa Neom,2,32
277,Ziyad Al Johani,1.sa Al-Ahli,0,
278,Musab Al Juwayr,1.sa Al-Qadsiah,3,152
279,Hassan Kadesh,1.sa Al-Ittihad,0,
280,Mohamed Kanno,1.sa Al-Hilal,3,225
281,Ahmed Al-Kassar,1.sa Al-Qadsiah,0,
282,Abdullah Al-Khaibari,1.sa Al-Nassr,3,180
283,Ali Lajami,1.sa Al-Hilal,3,149
284,Ali Majrashi,1.sa Al-Ahli,0,
285,Sultan Mendash,1.sa Al-Hilal,1,65
286,Mohammed Al-Owais,1.sa Al-Ula,3,270
287,Mohammed Abu Al-Shamat,1.sa Al-Qadsiah,3,136
288,Saleh Al-Shehri,1.sa Al-Ittihad,0,
289,Hassan Al Tambakti,1.sa Al-Hilal,3,212
290,Jehad Thakri,1.sa Al-Qadsiah,0,
291,Ayman Yahya,1.sa Al-Nassr,0,
292,Rodrigo Aguirre,1.mx América,1,1
293,Maxi Araújo,1.pt Sporting CP,3,250
294,Ronald Araújo,1.es Barcelona,0,
295,Giorgian de Arrascaeta,1.br Flamengo,0,
296,Rodrigo Bentancur,1.eng Tottenham,3,270
297,Santiago Bueno,1.eng Wolves,0,
298,Sebastián Cáceres,1.mx América,3,270
299,Agustín Canobbio,1.br Fluminense,3,224
300,Nicolás De La Cruz,1.br Flamengo,3,86
301,Juan Manuel Sanabria,1.mx Atlético San Luis,3,204
302,José María Giménez,1.es Atlético Madrid,0,
303,Emiliano Martínez,1.br Palmeiras,0,
304,Santiago Mele,1.co Junior,0,
305,Fernando Muslera,1.tr Galatasaray,3,225
306,Darwin Núñez,1.sa Al-Hilal,3,156
307,Mathías Olivera,1.it Napoli,3,270
308,Facundo Pellistri,1.gr Panathinaikos,0,
309,Joaquín Piquerez,1.br Palmeiras,0,
310,Sergio Rochet,1.br Internacional,1,45
311,Brian Rodríguez,1.mx América,3,41
312,Manuel Ugarte,1.eng Manchester Utd,3,184
313,Federico Valverde,1.es Real Madrid,3,236
314,Guillermo Varela,1.br Flamengo,3,270
315,Matías Viña,1.br Flamengo,1,45
316,Federico Viñas,1.es Oviedo,3,192
317,Rodrigo Zalazar,1.pt Braga,0,
318,Ché Adams,1.it Torino,3,145
319,Ryan Christie,1.eng Bournemouth,3,95
320,Findlay Curtis,1.sct Kilmarnock,2,9
321,Lyndon Dykes,2.eng Charlton Athletic,2,36
322,Lewis Ferguson,1.it Bologna,3,270
323,Tyler Fletcher,1.eng Manchester Utd,0,
324,Ben Gannon-Doak,1.eng Bournemouth,3,186
325,Billy Gilmour,1.it Napoli,,
326,Craig Gordon,1.sct Hearts,0,
327,Angus Gunn,1.eng Nottingham,3,270
328,Grant Hanley,1.sct Hibernian,2,180
329,Jack Hendry,1.sa Al-Ettifaq,3,270
330,Aaron Hickey,1.eng Brentford,1,74
331,George Hirst,2.eng Ipswich Town,0,
332,Dominic Hyam,2.eng Wrexham,0,
333,Liam Kelly,1.sct Rangers,0,
334,John McGinn,1.eng Aston Villa,3,259
335,Scott McKenna,1.hr Dinamo Zagreb,1,90
336,Kenny McLean,2.eng Norwich City,3,118
337,Scott McTominay,1.it Napoli,3,270
338,Nathan Patterson,1.eng Everton,3,185
339,Anthony Ralston,1.sct Celtic,2,11
340,Andy Robertson,1.eng Liverpool,3,225
341,Lawrence Shankland,1.sct Hearts,2,171
342,John Souttar,1.sct Rangers,0,
343,Ross Stewart,2.eng Southampton,1,2
344,Kieran Tierney,1.sct Celtic,2,104
345,Samet Akaydın,1.tr Rizespor,0,
346,Yunus Akgün,1.tr Galatasaray,2,88
347,Kerem Aktürkoğlu,1.tr Fenerbahçe,2,129
348,Barış Alper Yılmaz,1.tr Galatasaray,3,179
349,Oğuz Aydın,1.tr Fenerbahçe,1,89
350,Kaan Ayhan,1.tr Galatasaray,1,3
351,Abdülkerim Bardakcı,1.tr Galatasaray,3,265
352,Altay Bayındır,1.eng Manchester Utd,0,
353,Uğurcan Çakır,1.tr Galatasaray,3,270
354,Hakan Çalhanoğlu,1.it Inter,2,180
355,İrfan Can Kahveci,1.tr Kasımpaşa,1,1
356,Zeki Çelik,1.it Roma,2,163
357,Merih Demiral,1.sa Al-Ahli,2,180
358,Eren Elmalı,1.tr Galatasaray,2,111
359,Deniz Gül,1.pt Porto,2,37
360,Arda Güler,1.es Real Madrid,3,270
361,Mert Günok,1.tr Fenerbahçe,0,
362,Ozan Kabak,1.de Hoffenheim,1,90
363,Ferdi Kadioglu,1.eng Brighton,2,159
364,Orkun Kökçü,1.tr Beşiktaş,3,153
365,Mert Müldür,1.tr Fenerbahçe,3,101
366,Salih Özcan,1.de Dortmund,2,100
367,Çağlar Söyüncü,1.tr Fenerbahçe,1,7
368,Can Uzun,1.de Frankfurt,2,38
369,Kenan Yıldız,1.it Juventus,3,218
370,İsmail Yüksek,1.tr Fenerbahçe,2,139
371,Song Bum-keun,1.kr Jeonbuk,0,
372,Jens Castrop,1.de Gladbach,1,45
373,Lee Dong-gyeong,1.kr Ulsan HD,0,
374,Lee Gi-hyuk,1.kr Gangwon FC,3,270
375,Cho Gue-sung,1.dk Midtjylland,2,31
376,Lee Han-beom,1.dk Midtjylland,3,270
377,Hwang Hee-chan,1.eng Wolves,3,108
378,Son Heung-min,1.us LAFC,3,169
