Rk,Player,Club,MP,Min
523,Nihad Mujakić,1.tr Gaziantep,0,
524,Stjepan Radeljić,1.hr Rijeka,2,180
525,Ivan Šunjić,1.cy Pafos FC,4,196
526,Haris Tabaković,2.de Schalke 04,1,16
527,Benjamin Tahirovic,1.dk Brøndby,4,237
528,Nikola Vasilj,1.de St Pauli,4,360
529,Martin Zlomislić,1.hr Rijeka,0,
530,David Affengruber,1.es Elche,0,
531,David Alaba,1.es Real Madrid,4,275
532,Marko Arnautović,1.rs Red Star,4,144
533,Christoph Baumgartner,1.de RB Leipzig,,
534,Carney Chukwuemeka,1.de Dortmund,3,83
535,Kevin Danso,1.eng Tottenham,4,241
536,Marco Friedl,1.de Werder Bremen,1,24
537,Michael Gregoritsch,1.de Augsburg,3,188
538,Florian Grillitsch,1.pt Braga,2,90
539,Saša Kalajdžić,1.at LASK,3,77
540,Konrad Laimer,1.de Bayern Munich,4,360
541,Philipp Lienhart,1.de Freiburg,2,180
542,Dejan Ljubičić,2.de Schalke 04,0,
543,Phillipp Mwene,1.de Mainz 05,2,147
544,Patrick Pentz,1.dk Brøndby,0,
545,Stefan Posch,1.de Mainz 05,4,331
546,Alexander Prass,1.de Hoffenheim,2,29
547,Marcel Sabitzer,1.de Dortmund,4,360
548,Alexander Schlager,1.at RB Salzburg,4,360
549,Xaver Schlager,1.de RB Leipzig,4,238
550,Romano Schmid,1.de Werder Bremen,4,263
551,Alessandro Schöpf,1.at RZ Pellets WAC,0,
552,Nicolas Seiwald,1.de RB Leipzig,4,315
553,Michael Svoboda,2.it Venezia,0,
554,Paul Wanner,1.nl PSV,4,234
555,Florian Wiegele,1.cz Viktoria Plzeň,0,
556,Patrick Wimmer,1.de Wolfsburg,2,21
557,Taha Ali,1.se Malmö,2,37
558,Yasin Ayari,1.eng Brighton,4,339
559,Lucas Bergvall,1.eng Tottenham,4,181
560,Alexander Bernhardsson,2.de Holstein Kiel,3,217
561,Hjalmar Ekdal,1.eng Burnley,0,
562,Anthony Elanga,1.eng Newcastle,4,217
563,Gabriel Gudmundsson,1.eng Leeds United,4,330
564,Viktor Gyökeres,1.eng Arsenal,4,360
565,Isak Hien,1.it Atalanta,3,216
566,Emil Holm,1.it Juventus,,
567,Alexander Isak,1.eng Liverpool,4,357
568,Herman Johansson,1.us FC Dallas,0,
569,Viktor Johansson,2.eng Stoke City,0,
570,Jesper Karlström,1.it Udinese,2,138
571,Gustaf Lagerbielke,1.pt Braga,4,360
572,Victor Lindelöf,1.eng Aston Villa,4,356
573,Gustaf Nilsson,1.be Club Brugge,1,2
574,Kristoffer Nordfeldt,1.se AIK Stockholm,2,180
575,Benjamin Nygren,1.sct Celtic,4,130
576,Ken Sema,1.cy Pafos FC,1,16
577,Eric Smith,1.de St Pauli,0,
578,Carl Starfelt,1.es Celta Vigo,1,4
579,Elliot Stroud,1.se Mjällby,4,166
580,Mattias Svanberg,1.de Wolfsburg,2,16
581,Daniel Svensson,1.de Dortmund,3,98
582,Jacob Widell Zetterström,2.eng Derby County,2,180
583,Besfort Zeneli,1.be Union SG,2,60
584,Jayden Adams,1.za Sundowns,3,116
585,Oswin Appollis,1.za Orlando Pirates,4,255
586,Sipho Chaine,1.za Orlando Pirates,0,
587,Bradley Cross,1.za Kaizer Chiefs,0,
588,Lyle Foster,1.eng Burnley,1,55
589,Ricardo Goss,1.za Siwelele,0,
590,Samukele Kabini,1.no Molde,0,
591,Evidence Makgopa,1.za Orlando Pirates,4,215
592,Olwethu Makhanya,1.us Philadelphia,0,
593,Thapelo Maseko,1.cy AEL Limassol,3,242
594,Thabang Matuludi,1.za Polokwane City,0,
595,Thalente Mbatha,1.za Orlando Pirates,4,260
596,Mbekezeli Mbokazi,1.us Chicago Fire,4,360
597,Aubrey Modiba,1.za Sundowns,4,346
598,Relebohile Mofokeng,1.za Orlando Pirates,3,169
599,Teboho Mokoena,1.za Sundowns,3,270
600,Tshepang Moremi,1.za Orlando Pirates,2,34
601,Khuliso Mudau,1.za Sundowns,4,360
602,Khulumani Ndamane,1.za Sundowns,0,
603,Ime Okon,2.de Hannover 96,4,360
604,Iqraam Rayners,1.za Sundowns,4,161
605,Kamogelo Sebelebele,1.za Orlando Pirates,1,7
606,Nkosinathi Sibisi,1.za Orlando Pirates,1,90
607,Sphephelo Sithole,1.pt Tondela,3,229
608,Ronwen Williams,1.za Sundowns,4,360
609,Themba Zwane,1.za Sundowns,1,23
610,Jordy Alcivar,1.ec Independiente,1,45
611,Nilson Angulo,1.eng Sunderland,4,218
612,Jeremy Arévalo,1.de Stuttgart,0,
613,Jordy Caicedo,1.ar Huracán,3,20
614,Moisés Caicedo,1.eng Chelsea,4,360
615,Denil Castillo,1.dk Midtjylland,0,
616,Pervis Estupiñán,1.it Milan,2,89
617,Alan Franco,1.br Atlético Mineiro,4,251
618,Hernán Galíndez,1.ar Huracán,4,360
619,Piero Hincapié,1.eng Arsenal,4,339
620,Yaimar Medina,1.be Genk,1,45
621,Alan Minda,1.br Atlético Mineiro,1,55
622,Joel Ordóñez,1.be Club Brugge,3,225
623,Willian Pacho,1.fr PSG,4,360
624,Kendry Páez,1.ar River Plate,1,12
625,Gonzalo Plata,1.br Flamengo,4,360
626,Jackson Porozo,1.mx Tijuana,1,29
627,Ángelo Preciado,1.br Atlético Mineiro,4,109
628,Moisés Ramírez,1.gr AE Kifisia,0,
629,Kevin Rodríguez,1.be Union SG,4,118
630,Félix Torres Caicedo,1.br Internacional,1,6
631,Anthony Valencia,1.be Antwerp,0,
632,Enner Valencia,1.mx Pachuca,4,287
633,Gonzalo Valle,1.ec LDU Quito,0,
634,Pedro Vite,1.mx UNAM,4,360
635,John Yeboah,2.it Venezia,4,311
636,Jonas Adjetey,1.de Wolfsburg,3,225
637,Joseph Anang,1.ie St Patrick's,0,
638,Benjamin Asare,1.gh Accra Hearts of Oak,3,225
639,Lawrence Ati-Zigi,1.ch St. Gallen,2,135
640,Jordan Ayew,2.eng Leicester City,4,300
641,Augustine Boakye,2.fr Saint-Étienne,0,
642,Christopher Bonsu-Baah,1.sa Al-Qadsiah,0,
643,Abdul Fatawu Issahaku,2.eng Leicester City,4,132
644,Prince Kwabena Adu,1.cz Viktoria Plzeň,3,39
645,Derrick Luckassen,1.cy Pafos FC,2,180
646,Gideon Mensah,1.fr Auxerre,4,360
647,Abdul Mumin,1.es Rayo Vallecano,0,
648,Ernest Nuamah,1.fr Lyon,3,89
649,Jerome Opoku,1.tr Başakşehir,3,270
650,Elisha Owusu,1.fr Auxerre,3,151
651,Thomas Partey,1.es Villarreal,3,270
652,Kojo Peprah Oppong,1.fr Nice,2,49
653,Abdul Rahman Baba,1.gr PAOK,1,1
654,Alidu Seidu,1.fr Rennes,1,78
655,Antoine Semenyo,1.eng Manchester City,4,360
656,Marvin Senaya,1.fr Auxerre,4,278
657,Kwasi Sibo,1.es Oviedo,4,248
658,Kamaldeen Sulemana,1.us Atlanta Utd,2,127
659,Brandon Thomas-Asante,2.eng Coventry City,2,53
660,Iñaki Williams,1.es Athletic Club,2,126
661,Caleb Yirenkyi,1.dk Nordsjælland,4,264
662,Cédric Bakambu,1.es Real Betis,3,190
663,Simon Banza,1.ae Al Jazira Club,2,40
664,Dylan Batubinsika,1.cy AEL Limassol,0,
665,Theo Bongonda,1.ru Spartak Moscow,2,34
666,Rocky Bushiri,1.sct Hibernian,,
667,Brian Cipenga,2.es Castellón,2,146
668,Meschak Elia,1.tr Alanyaspor,2,46
669,Matthieu Epolo,1.be Standard Liège,0,
670,Timothy Fayulu,1.am FC Noah,0,
671,Gaël Kakuta,1.cy AEL Limassol,0,
672,Gédéon Kalulu,1.cy Aris Limassol,1,6
673,Steve Kapuadi,1.pl Widzew Łódź,2,180
674,Edo Kayembe,2.eng Watford,3,160
675,Joris Kayembe,1.be Genk,4,45
676,Arthur Masuaku,1.fr Lens,4,315
677,Fiston Mayele,1.eg Pyramids FC,2,42
678,Chancel Mbemba,1.fr Lille,4,360
679,Nathanaël Mbuku,2.fr Montpellier,3,143
680,Samuel Moutoussamy,1.gr Atromitos,4,330
681,Lionel Mpasi,1.fr Le Havre,4,360
682,Ngal'Ayel Mukau,1.fr Lille,4,195
683,Charles Pickel,1.es Espanyol,2,35
684,Noah Sadiki,1.eng Sunderland,4,259
685,Aaron Tshibola,1.sct Kilmarnock,0,
686,Axel Tuanzebe,1.eng Burnley,4,360
687,Aaron Wan-Bissaka,1.eng West Ham,4,354
688,Yoane Wissa,1.eng Newcastle,4,360
689,Patrick Beach,1.au Melb City,4,388
690,Aziz Behich,1.au Melb City,3,217
691,Jordy Bos,1.nl Feyenoord,4,308
692,Cameron Burgess,2.eng Swansea City,2,135
693,Alessandro Circati,1.it Parma,4,390
694,Miloš Degenek,1.cy APOEL FC,0,
695,Cammy Devlin,1.sct Hearts,0,
696,Jason Geria,2.jp Albirex Niigata,2,62
697,Lucas Herrington,1.us Colorado Rapids,2,210
698,Ajdin Hrustic,1.nl Heracles Almelo,2,80
699,Nestory Irankunda,2.eng Watford,4,261
700,Jackson Irvine,1.de St Pauli,4,223
701,Jacob Italiano,1.at Grazer AK,2,163
702,Paul Izzo,1.dk Randers,0,
703,Mathew Leckie,1.au Melb City,1,60
704,Awer Mabil,2.es Castellón,1,30
705,Connor Metcalfe,1.de St Pauli,4,315
706,Aiden O'Neill,1.us NYCFC,4,360
707,Paul Okon-Engstler,1.au Sydney FC,4,197
708,Mathew Ryan,1.es Levante,1,2
709,Harry Souttar,2.eng Leicester City,4,390
710,Mo Touré,2.eng Norwich City,3,165
711,Kai Trewin,1.us NYCFC,1,75
712,Nishan Velupillay,1.au Melb. Victory,2,75
713,Cristian Volpato,1.it Sassuolo,3,160
714,Tete Yengi,1.jp Machida Zelvia,2,24
715,Ritsu Doan,1.de Frankfurt,4,278
716,Wataru Endo,1.eng Liverpool,,
717,Keisuke Gotō,1.be Sint-Truiden,1,7
718,Tomoki Hayakawa,1.jp Kashima Antlers,0,
719,Ko Itakura,1.nl Ajax,2,128
720,Hiroki Ito,1.de Bayern Munich,4,360
721,Junya Itō,1.be Genk,4,216
722,Daichi Kamada,1.eng Crystal Palace,4,329
723,Takefusa Kubo,1.es Real Sociedad,1,74
724,Shuto Machino,1.de Gladbach,1,13
725,Daizen Maeda,1.sct Celtic,3,244
726,Yūto Nagatomo,1.jp FC Tokyo,1,16
727,Keito Nakamura,2.fr Reims,4,307
728,Kōki Ogawa,1.nl NEC Nijmegen,3,42
729,Keisuke Ōsako,1.jp Sanf. Hiroshima,0,
730,Kaishū Sano,1.de Mainz 05,3,270
731,Ayumu Seko,1.fr Le Havre,2,86
732,Kento Shiogai,1.de Wolfsburg,1,7
733,Yukinari Sugawara,1.de Werder Bremen,4,148
734,Junnosuke Suzuki,1.dk FC Copenhagen,2,43
735,Yuito Suzuki,1.de Freiburg,1,12
736,Zion Suzuki,1.it Parma,4,360
737,Ao Tanaka,1.eng Leeds United,3,193
738,Shogo Taniguchi,1.be Sint-Truiden,3,232
739,Takehiro Tomiyasu,1.nl Ajax,3,184
740,Ayase Ueda,1.nl Feyenoord,4,321
741,Tsuyoshi Watanabe,1.nl Feyenoord,2,90
742,Martin Baturina,1.it Como,4,321
743,Ante Budimir,1.es Osasuna,3,155
744,Duje Ćaleta-Car,1.es Real Sociedad,0,
745,Martin Erlić,1.dk Midtjylland,0,
746,Toni Fruk,1.hr Rijeka,0,
747,Joško Gvardiol,1.eng Manchester City,4,139
748,Kristijan Jakić,1.de Augsburg,0,
749,Dominik Kotarski,1.dk FC Copenhagen,0,
750,Mateo Kovačić,1.eng Manchester City,4,270
751,Andrej Kramarić,1.de Hoffenheim,3,59
752,Dominik Livaković,1.hr Dinamo Zagreb,4,360
753,Igor Matanović,1.de Freiburg,3,95
754,Luka Modrić,1.it Milan,4,317
755,Nikola Moro,1.it Bologna,0,
756,Petar Musa,1.us FC Dallas,2,110
757,Ivor Pandur,2.eng Hull City,0,
758,Marco Pašalić,1.us Orlando City,3,99
759,Mario Pašalić,1.it Atalanta,4,123
760,Ivan Perišić,1.nl PSV,4,360
761,Marin Pongračić,1.it Fiorentina,3,270
762,Josip Stanišić,1.de Bayern Munich,4,360
763,Luka Sučić,1.es Real Sociedad,1,19
764,Petar Sučić,1.it Inter,4,289
765,Josip Šutalo,1.nl Ajax,4,360
766,Nikola Vlašić,1.it Torino,3,189
767,Luka Vušković,1.de Hamburger SV,1,65
768,Simon Adingra,1.fr Monaco,1,16
769,Emmanuel Agbadou,1.tr Beşiktaş,3,270
770,Clément Akpa,1.fr Auxerre,,
771,Ange-Yoan Bonny,1.it Inter,4,234
772,Oumar Diakité,1.be Cercle Brugge,2,28
773,Amad Diallo,1.eng Manchester Utd,4,185
774,Ousmane Diomande,1.pt Sporting CP,1,90
775,Yan Diomandé,1.de RB Leipzig,4,329
776,Guéla Doué,1.fr Strasbourg,4,277
777,Seko Fofana,1.pt Porto,2,92
778,Yahia Fofana,1.tr Rizespor,4,360
779,Evann Guessand,1.eng Crystal Palace,2,17
780,Parfait Guiagon,1.be Charleroi,0,
781,Christ Inao Oulaï,1.tr Trabzonspor,4,208
782,Franck Kessié,1.sa Al-Ahli,4,346
783,Ghislain Konan,1.pt Gil Vicente FC,3,269
784,Mohamed Koné,1.be Charleroi,0,
785,Odilon Kossounou,1.it Atalanta,4,272
786,Alban Lafont,1.gr Panathinaikos,0,
787,Obite N'Dicka,1.it Roma,0,
788,Christopher Opéri,1.tr Başakşehir,1,90
789,Nicolas Pépé,1.es Villarreal,4,234
790,Ibrahim Sangaré,1.eng Nottingham,4,268
791,Jean Seri,1.si NK Maribor,1,14
792,Wilfried Singo,1.tr Galatasaray,2,171
793,Bazoumana Touré,1.de Hoffenheim,3,80
794,Elye Wahi,1.fr Nice,3,110
795,Nadiem Amiri,1.de Mainz 05,2,42
796,Waldemar Anton,1.de Dortmund,2,50
797,Oliver Baumann,1.de Hoffenheim,0,
798,Maximilian Beier,1.de Dortmund,1,27
799,Nathaniel Brown,1.de Frankfurt,3,282
800,Leon Goretzka,1.de Bayern Munich,3,99
801,Pascal Groß,1.eng Brighton,1,18
802,Kai Havertz,1.eng Arsenal,4,353
803,Lennart Karl,1.de Bayern Munich,,
804,Joshua Kimmich,1.de Bayern Munich,4,351
805,Jamie Leweling,1.de Stuttgart,1,31
806,Jamal Musiala,1.de Bayern Munich,4,270
807,Manuel Neuer,1.de Bayern Munich,4,390
808,Felix Nmecha,1.de Dortmund,4,270
809,Alexander Nübel,1.de Stuttgart,0,
810,Assan Ouédraogo,1.de RB Leipzig,0,
811,Aleksandar Pavlovic,1.de Bayern Munich,4,272
812,David Raum,1.de RB Leipzig,2,108
813,Antonio Rüdiger,1.es Real Madrid,4,262
814,Leroy Sané,1.tr Galatasaray,4,326
815,Nico Schlotterbeck,1.de Dortmund,2,135
816,Angelo Stiller,1.de Stuttgart,1,45
817,Jonathan Tah,1.de Bayern Munich,4,372
818,Malick Thiaw,1.eng Newcastle,2,42
819,Deniz Undav,1.de Stuttgart,4,151
820,Florian Wirtz,1.eng Liverpool,4,361
821,Nick Woltemade,1.eng Newcastle,1,33
822,Nathan Aké,1.eng Manchester City,3,170
823,Brian Brobbey,1.eng Sunderland,4,223
824,Denzel Dumfries,1.it Inter,4,390
825,Mark Flekken,1.de Leverkusen,0,
826,Cody Gakpo,1.eng Liverpool,4,368
827,Lutsharel Geertruida,1.eng Sunderland,0,
828,Ryan Gravenberch,1.eng Liverpool,4,345
829,Jorrel Hato,1.eng Chelsea,1,35
830,Jan Paul van Hecke,1.eng Brighton,4,390
831,Frenkie de Jong,1.es Barcelona,4,328
832,Justin Kluivert,1.eng Bournemouth,2,27
833,Teun Koopmeiners,1.it Juventus,4,122
834,Noa Lang,1.tr Galatasaray,2,8
835,Donyell Malen,1.it Roma,3,185
836,Memphis,1.br Corinthians,3,54
837,Tijjani Reijnders,1.eng Manchester City,3,199
838,Robin Roefs,1.eng Sunderland,0,
839,Marten de Roon,1.it Atalanta,1,11
840,Crysencio Summerville,1.eng West Ham,4,253
841,Guus Til,1.nl PSV,1,32
842,Jurriën Timber,1.eng Arsenal,,
843,Quinten Timber,1.fr Marseille,2,55
844,Virgil van Dijk,1.eng Liverpool,4,390
845,Micky van de Ven,1.eng Tottenham,3,265
846,Bart Verbruggen,1.eng Brighton,4,390
847,Wout Weghorst,1.nl Ajax,1,50
848,Mats Wieffer,1.eng Brighton,0,
849,Omar Alderete,1.eng Sunderland,4,320
850,Miguel Almirón,1.us Atlanta Utd,4,282
851,Júnior Alonso,1.br Atlético Mineiro,5,390
852,Álex Arce,1.ar Ind. Rivadavia,2,53
853,Gabriel Ávalos,1.ar Independiente,4,141
854,Fabián Balbuena,1.br Grêmio,1,1
855,Damián Bobadilla,1.br São Paulo,4,189
856,Gustavo Caballero,2.eng Portsmouth,2,96
857,Juan Cáceres,1.ru Dynamo Moskva,5,436
858,José Canale,1.ar Lanús,4,161
859,Andrés Cubas,1.us Vancouver,5,480
860,Julio Enciso,1.fr Strasbourg,5,386
861,Gatito Fernández,1.py Cerro Porteño,0,
862,Matías Galarza,1.us Atlanta Utd,4,388
863,Orlando Gill,1.py San Lorenzo,5,480
864,Diego Gómez,1.eng Brighton,4,304
865,Gustavo Gómez,1.br Palmeiras,5,480
866,Kaku,1.ae Al Ain,1,11
867,Alexandro Maidana,1.ar Talleres–C,2,55
868,Mauricio,1.br Palmeiras,4,173
869,Braian Ojeda,1.us Orlando City,1,22
870,Gastón Olveira,1.py Olimpia,0,
871,Isidro Pitta,1.br RB Bragantino,1,45
872,Antonio Sanabria,1.it Cremonese,2,83
873,Ramón Sosa,1.br Palmeiras,1,12
874,Gustavo Velásquez,1.py Cerro Porteño,5,246
875,Hamza Abdelkarim,4.es Barcelona B,4,60
876,Hossam Abdelmaguid,1.eg Zamalek SC,2,59
877,Mohamed Abdelmonem,1.fr Nice,2,14
878,Ibrahim Adel,1.dk Nordsjælland,1,3
879,Mohamed Alaa,1.eg El Gouna FC,0,
880,Tarek Alaa,1.eg ZED,0,
881,Emam Ashour,1.eg Al Ahly,5,362
882,Marwan Attia,1.eg Al Ahly,5,434
883,Nabil Dunga,1.sa Al-Najma,0,
884,Hamdy Fathy,1.qa Al-Wakrah,4,238
885,Ahmed Fatouh,1.eg Zamalek SC,3,267
886,Karim Hafez,1.eg Pyramids FC,3,172
887,Mohamed Hany,1.eg Al Ahly,5,480
888,Haissem Hassan,1.es Oviedo,2,126
889,Yasser Ibrahim,1.eg Al Ahly,5,467
890,El Mahdy Soliman,1.eg Zamalek SC,,
891,Omar Marmoush,1.eng Manchester City,5,326
892,Mohanad Mostafa,1.eg Pyramids FC,,
893,Ramy Rabia,1.ae Al Ain,5,372
894,Mahmoud Saber,1.eg ZED,2,46
895,Mohamed Salah,1.eng Liverpool,5,425
896,Mohamed El-Shenawy,1.eg Al Ahly,0,
897,Mostafa Shobeir,1.eg Al Ahly,5,480
898,Trézéguet,1.eg Al Ahly,4,164
899,Mostafa Ziko,1.eg Pyramids FC,5,370
900,Zizo,1.eg Al Ahly,4,56
901,Ali Ahmed,2.eng Norwich City,4,234
902,Moïse Bombito,1.fr Nice,3,193
903,Tajon Buchanan,1.es Villarreal,5,376
904,Mathieu Choinière,1.us LAFC,1,57
905,Derek Cornelius,1.fr Marseille,4,315
906,Maxime Crépeau,1.us Orlando City,5,450
907,Jonathan David,1.it Juventus,5,420
908,Promise David,1.be Union SG,4,80
909,Alphonso Davies,1.de Bayern Munich,1,16
910,Luc De Fougerolles,1.eng Fulham,5,372
911,Stephen Eustáquio,1.pt Porto,5,392
912,Marcelo Flores,1.mx UANL,,
913,Owen Goodman,3.eng Barnsley,0,
914,Alistair Johnston,1.sct Celtic,5,450
915,Alfie Jones,2.eng Middlesbrough,0,
916,Ismaël Koné,1.it Sassuolo,2,146
917,Cyle Larin,1.es Mallorca,4,190
918,Richie Laryea,1.us Toronto FC,5,429
919,Liam Millar,2.eng Hull City,3,162
920,Jayden Nelson,1.us Austin FC,1,4
921,Tani Oluwaseyi,1.es Villarreal,5,259
922,Jonathan Osorio,1.us Toronto FC,2,5
923,Nathan Saliba,1.be Anderlecht,3,182
924,Jacob Shaffelburg,1.us LAFC,5,92
925,Niko Sigur,1.hr Hajduk Split,3,126
926,Dayne St. Clair,1.us Inter Miami,0,
927,Joel Waterman,1.us Chicago Fire,0,
928,Tomás Araújo,1.pt Benfica,1,90
929,João Cancelo,1.es Barcelona,5,312
930,Francisco Conceição,1.it Juventus,4,126
931,Diogo Costa,1.pt Porto,5,450
932,Samu Costa,1.es Mallorca,1,21
933,Diogo Dalot,1.eng Manchester Utd,2,65
934,Rúben Dias,1.eng Manchester City,4,360
935,João Félix,1.sa Al-Nassr,3,201
936,Bruno Fernandes,1.eng Manchester Utd,5,422
937,Gonçalo Guedes,1.es Real Sociedad,0,
938,Gonçalo Inácio,1.pt Sporting CP,0,
939,Rafael Leão,1.it Milan,5,158
940,Nuno Mendes,1.fr PSG,5,395
941,Pedro Neto,1.eng Chelsea,5,350
942,João Neves,1.fr PSG,5,390
943,Rúben Neves,1.sa Al-Hilal,2,55
944,Matheus Nunes,1.eng Manchester City,1,1
945,Gonçalo Ramos,1.fr PSG,2,36
946,Cristiano Ronaldo,1.sa Al-Nassr,5,440
947,José Sá,1.eng Wolves,0,
948,Nélson Semedo,1.tr Fenerbahçe,4,127
949,Bernardo Silva,1.eng Manchester City,4,97
950,Rui Silva,1.pt Sporting CP,0,
951,Francisco Trincão,1.pt Sporting CP,1,28
952,Renato Veiga,1.es Villarreal,5,450
953,Vitinha,1.fr PSG,5,376
954,Brenden Aaronson,1.eng Leeds United,1,76
955,Tyler Adams,1.eng Bournemouth,4,341
956,Max Arfsten,1.us Columbus Crew,1,1
957,Folarin Balogun,1.fr Monaco,4,312
958,Sebastian Berhalter,1.us Vancouver,5,187
959,Chris Brady,1.us Chicago Fire,0,
960,Sergiño Dest,1.nl PSV,5,297
961,Alex Freeman,1.es Villarreal,5,374
962,Matt Freese,1.us NYCFC,4,360
963,Weston McKennie,1.it Juventus,5,443
964,Mark McKenzie,1.fr Toulouse,1,90
965,Ricardo Pepi,1.nl PSV,5,204
966,Christian Pulisic,1.it Milan,4,223
967,Tim Ream,1.us Charlotte,4,360
968,Gio Reyna,1.de Gladbach,5,131
969,Chris Richards,1.eng Crystal Palace,4,360
970,Antonee Robinson,1.eng Fulham,4,348
971,Miles Robinson,1.us FC Cincinnati,1,90
972,Cristian Roldan,1.us Seattle Sounders,0,
973,Joe Scally,1.de Gladbach,2,87
974,Malik Tillman,1.de Leverkusen,5,356
975,Auston Trusty,1.sct Celtic,2,101
976,Matt Turner,1.us NE Revolution,1,90
977,Timothy Weah,1.fr Marseille,2,76
978,Haji Wright,2.eng Coventry City,2,2
979,Alejandro Zendejas,1.mx América,1,14
980,Alisson,1.eng Liverpool,5,450
981,Gleison Bremer,1.it Juventus,0,
982,Casemiro,1.eng Manchester Utd,5,379
983,Matheus Cunha,1.eng Manchester Utd,5,290
984,Danilo,1.br Flamengo,5,405
985,Endrick,1.fr Lyon,4,114
986,Fabinho,1.sa Al-Ittihad,3,71
987,Bruno Guimarães,1.eng Newcastle,5,416
988,Luiz Henrique,1.ru Zenit,1,29
989,Roger Ibanez,1.sa Al-Ahli,1,45
990,Vinicius Júnior,1.es Real Madrid,5,440
991,Gabriel Magalhães,1.eng Arsenal,5,450
992,Marquinhos,1.fr PSG,5,450
993,Gabriel Martinelli,1.eng Arsenal,4,143
994,Ederson Moraes,1.tr Fenerbahçe,0,
995,Neymar,1.br Santos,2,39
996,Lucas Paquetá,1.br Flamengo,4,233
997,Léo Pereira,1.br Flamengo,0,
998,Raphinha,1.es Barcelona,2,129
999,Rayan,1.eng Bournemouth,4,288
1000,Alex Sandro,1.br Flamengo,1,9
1001,Danilo Santos,1.br Botafogo–RJ,4,46
1002,Douglas Santos,1.ru Zenit,5,441
1003,Éderson Silva,1.it Atalanta,2,22
1004,Igor Thiago,1.eng Brentford,1,61
1005,Wesley,1.it Roma,,
1006,Wéverton,1.br Grêmio,0,
1007,Jhon Arias,1.br Palmeiras,5,377
1008,Santiago Arias,1.ar Independiente,1,86
1009,Juan Camilo Portilla,1.br Athletico–PR,0,
1010,Jaminton Campaz,1.ar Rosario Central,3,75
1011,Jorge Carrascal,1.br Flamengo,0,
1012,Kevin Castaño,1.ar River Plate,2,16
1013,Jhon Córdoba,1.ru Krasnodar,3,99
1014,Cucho,1.es Real Betis,2,50
1015,Álvaro David Montero,1.ar Vélez Sarsfield,0,
1016,Luis Díaz,1.de Bayern Munich,5,478
1017,Willer Ditta,1.mx Cruz Azul,0,
1018,Andrés Gómez,1.br Vasco da Gama,1,1
1019,Jefferson Lerma,1.eng Crystal Palace,5,410
1020,Jhon Lucumí,1.it Bologna,5,478
1021,Deiver Machado,1.fr Nantes,1,90
1022,Yerry Mina,1.it Cagliari,1,2
1023,Johan Mojica,1.es Mallorca,4,390
1024,Daniel Muñoz,1.eng Crystal Palace,5,394
1025,David Ospina,1.co Atlético Nacional,0,
1026,Gustavo Puerta,2.es Racing Sant,5,469
1027,Juan Quintero,1.ar River Plate,4,121
1028,Richard Ríos,1.pt Benfica,5,140
1029,James Rodríguez,1.us Minnesota Utd,5,313
1030,Davinson Sánchez,1.tr Galatasaray,5,480
1031,Luis Suárez,1.pt Sporting CP,5,331
1032,Camilo Vargas,1.mx Atlas,5,480
1033,Carlos Acevedo,1.mx Santos Laguna,0,
1034,Roberto Alvarado,1.mx Guadalajara,5,428
1035,Edson Álvarez,1.eng West Ham,4,240
1036,Luis Chávez,1.ru Dynamo Moskva,1,25
1037,Mateo Chávez,1.nl AZ Alkmaar,1,77
1038,Álvaro Fidalgo,1.es Real Betis,3,96
1039,Jesús Gallardo,1.mx Toluca,5,373
1040,Santiago Giménez,1.it Milan,4,86
1041,Armando González,1.mx Guadalajara,1,15
1042,Brian Gutiérrez,1.mx Guadalajara,4,198
1043,César Huerta,1.be Anderlecht,1,7
1044,Raúl Jiménez,1.eng Fulham,4,317
1045,Erik Lira,1.mx Cruz Azul,4,345
1046,Guillermo Martínez Ayala,1.mx UNAM,2,72
1047,César Montes,1.ru Loko Moscow,4,314
1048,Gilberto Mora,1.mx Tijuana,4,213
1049,Guillermo Ochoa,1.cy AEL Limassol,1,13
1050,Orbelín Pineda,1.gr AEK Athens,2,31
1051,Julián Quiñones,1.sa Al-Qadsiah,5,410
1052,Raúl Rangel,1.mx Guadalajara,5,437
1053,Israel Reyes,1.mx América,4,202
1054,Luis Romo,1.mx Guadalajara,4,264
1055,Jorge Sánchez,1.gr PAOK,4,348
1056,Obed Vargas,1.es Atlético Madrid,3,66
1057,Johan Vásquez,1.it Genoa,4,360
1058,Alexis Vega,1.mx Toluca,1,12
1059,Michel Aebischer,1.it Pisa,4,156
1060,Manuel Akanji,1.it Inter,6,600
1061,Zeki Amdouni,1.eng Burnley,4,73
1062,Aurèle Amenda,1.de Frankfurt,0,
1063,Eray Cömert,1.es Valencia,1,31
1064,Nico Elvedi,1.de Gladbach,6,600
1065,Breel Embolo,1.fr Rennes,6,501
1066,Christian Fassnacht,1.ch Young Boys,1,6
1067,Remo Freuler,1.it Bologna,6,592
1068,Cedric Itten,2.de Düsseldorf,3,42
1069,Luca Jaquez,1.de Stuttgart,2,78
1070,Ardon Jashari,1.it Milan,3,72
1071,Marvin Keller,1.ch Young Boys,0,
1072,Gregor Kobel,1.de Dortmund,6,600
1073,Johan Manzambi,1.de Freiburg,4,199
1074,Miro Muheim,1.de Hamburger SV,3,87
1075,Yvon Mvogo,1.fr Lorient,0,
1076,Dan Ndoye,1.eng Nottingham,6,406
1077,Noah Okafor,1.eng Leeds United,1,20
