Rk,Player,Club,MP,Min,MinPerMatch
109,Mohammad Abu Hasheesh,1.iq Al-Karma,1.0,6.0,6.0
110,Mohannad Abu Taha,1.iq Al-Quwa Al-Jawiya,3.0,264.0,88.0
111,Mo Abualnadi,1.my Selangor FA,1.0,71.0,71.0
112,Yazeed Abulaila,1.jo Al-Hussein SC,3.0,270.0,90.0
113,Yazan Al-Arab,1.kr FC Seoul,3.0,270.0,90.0
115,Ali Azaizeh,1.sa Al-Shabab,3.0,54.0,18.0
118,Mohammad Al-Dawud,1.jo Al-Wehdat SC,1.0,3.0,3.0
120,Odeh Al-Fakhouri,1.eg Pyramids FC,3.0,148.0,49.333333333333336
121,Ihsan Haddad,1.jo Al-Hussein SC,3.0,260.0,86.66666666666667
122,Amer Jamous,1.iq Al-Zawra'a SC,1.0,15.0,15.0
123,Mahmoud Al-Mardi,1.jo Al-Hussein SC,3.0,130.0,43.333333333333336
124,Abdallah Nasib,1.iq Al-Zawra'a SC,3.0,260.0,86.66666666666667
125,Salim Obaid,1.jo Al-Hussein SC,3.0,21.0,7.0
126,Ali Olwan,1.qa Al-Sailiya SC,3.0,268.0,89.33333333333333
127,Nizar Al Rashdan,1.qa Qatar SC,3.0,255.0,85.0
128,Noor Al Rawabdeh,1.my Selangor FA,3.0,270.0,90.0
129,Saed Al-Rosan,1.jo Al-Hussein SC,1.0,10.0,10.0
132,Sharara,1.ma Raja Casablanca,2.0,2.0,1.0
133,Musa Al-Taamari,1.fr Rennes,3.0,215.0,71.66666666666667
135,Michael Amir Murillo,1.tr Beşiktaş,3.0,270.0,90.0
136,Andrés Andrade Cedeño,1.at LASK,3.0,270.0,90.0
137,Yoel Bárcenas,1.mx Mazatlán,3.0,249.0,83.0
138,César Blackman,1.sk Slovan Bratislava,2.0,178.0,89.0
140,José Córdoba,2.eng Norwich City,3.0,270.0,90.0
141,Erick Davis,1.pa Plaza Amador,2.0,4.0,2.0
142,Ismael Díaz,1.mx León,2.0,37.0,18.5
143,Fidel Escobar,1.cr Saprissa,1.0,90.0,90.0
144,José Fajardo,1.ec Univ Católica,3.0,155.0,51.666666666666664
