Rk,Player,Sh,SoT,SoT%,Club
109,Ivan Ba?i?,4,0,0,1.kz FC Astana
110,Ahmed Basil,0,0,,1.iq Al-Shorta
111,Martin Baturina,3,1,33.3,1.it Como
112,Ibrahim Bayesh,1,0,0,1.ae Al Dhafra SCC
113,Samed Ba?dar,0,0,,1.de Gladbach
114,Riechedly Bazoer,0,0,,1.tr Konyaspor
115,Patrick Beach,0,0,,1.au Melb City
116,Aziz Behich,1,1,100,1.au Melb City
117,Maximilian Beier,0,0,,1.de Dortmund
118,Alireza Beiranvand,0,0,,1.ir Tractor
119,Zineddine Belaãd,0,0,,1.dz JS Kabylie
120,Rafik Belghali,3,1,33.3,1.it Hellas Verona
121,Joe Bell,1,0,0,1.no Viking
122,Jean-Ricner Bellegarde,6,0,0,1.eng Wolves
123,Jude Bellingham,19,13,68.4,1.es Real Madrid
124,Mortadha Ben Ouanes,0,0,,1.tr Kas?mpa?a
125,Anis Ben Slimane,1,1,100,2.eng Norwich City
126,Oussama Benbot,0,0,,1.dz USM Alger
127,Nadhir Benbouali,2,2,100,1.hu Gy?r
128,Gilson Benchimol,0,0,,1.ru Akron Tolyatti
129,Ramy Bensebaini,2,0,0,1.de Dortmund
130,Nabil Bentaleb,1,0,0,1.fr Lille
131,Rodrigo Bentancur,4,0,0,1.eng Tottenham
132,Patrick Berg,3,0,0,1.no Bod?/Glimt
133,Sander Berge,0,0,,1.eng Fulham
134,Lucas Bergvall,2,0,0,1.eng Tottenham
135,Sebastian Berhalter,3,1,33.3,1.us Vancouver
136,Alexander Bernhardsson,1,1,100,2.de Holstein Kiel
137,Tyler Bindon,2,1,50,2.eng Sheffield United
138,CÇsar Blackman,2,1,50,1.sk Slovan Bratislava
139,Dami†n Bobadilla,0,0,,1.br S?o Paulo
140,Oscar Bobb,4,2,50,1.eng Fulham
141,Moãse Bombito,1,1,100,1.fr Nice
142,Theo Bongonda,1,0,0,1.ru Spartak Moscow
143,Ange-Yoan Bonny,1,1,100,1.it Inter
144,Jordy Bos,5,2,40,1.nl Feyenoord
145,Ayyoub Bouaddi,3,0,0,1.fr Lille
146,Hicham Boudaoui,0,0,,1.fr Nice
147,Karim Boudiaf,1,0,0,1.qa Al Duhail SC
148,Adil Boulbina,0,0,,1.qa Al Duhail SC
149,Yassine Bounou,0,0,,1.sa Al-Hilal
150,Nawaf Boushal,0,0,,1.sa Al-Nassr
151,Michael Boxall,0,0,,1.us Minnesota Utd
152,Sultan Al-Brake,0,0,,1.qa Al Duhail SC
153,Joshua Brenet,0,0,,1.tr Kayserispor
154,Brian Brobbey,4,3,75,1.eng Sunderland
155,Dylan Bronn,0,0,,1.ch Servette FC
156,Nathaniel Brown,3,2,66.7,1.de Frankfurt
157,Tajon Buchanan,6,3,50,1.es Villarreal
158,Ante Budimir,3,1,33.3,1.es Osasuna
159,Firas Al-Buraikan,0,0,,1.sa Al-Ahli
160,Cameron Burgess,0,0,,2.eng Swansea City
161,Dan Burn,0,0,,1.eng Newcastle
162,D?enis Burni?,1,0,0,2.de Karlsruher
163,Gustavo Caballero,1,1,100,2.eng Portsmouth
164,Jovane Cabral,2,0,0,1.pt Estrela
165,Liberato Cacace,1,1,100,2.eng Wrexham
166,Juan C†ceres,2,1,50,1.ru Dynamo Moskva
167,Sebasti†n C†ceres,3,0,0,1.mx AmÇrica
168,Jordy Caicedo,1,0,0,1.ar Hurac†n
169,MoisÇs Caicedo,4,1,25,1.eng Chelsea
170,U?urcan Äak?r,0,0,,1.tr Galatasaray
171,Hakan Äalhano?lu,11,2,18.2,1.it Inter
172,Lamine Camara,3,0,0,1.fr Monaco
173,Jaminton Campaz,6,3,50,1.ar Rosario Central
174,?rfan Can Kahveci,0,0,,1.tr Kas?mpa?a
175,JosÇ Canale,0,0,,1.ar Lan£s
176,Jo?o Cancelo,3,0,0,1.es Barcelona
177,Agust°n Canobbio,4,1,25,1.br Fluminense
178,Casemiro,4,2,50,1.eng Manchester Utd
179,JosuÇ Casimir,1,0,0,1.fr Auxerre
180,Timothy Castagne,3,1,33.3,1.eng Fulham
181,Kevin Casta§o,0,0,,1.ar River Plate
182,Jens Castrop,0,0,,1.de Gladbach
183,Zeki Äelik,1,1,100,1.it Roma
184,Luk†? ?erv,3,2,66.7,1.cz Viktoria Plze?
185,Fares Chaãbi,9,3,33.3,1.de Frankfurt
186,Trevoh Chalobah,0,0,,1.eng Chelsea
187,?t?p†n Chaloupek,0,0,,1.cz Slavia Prague
188,Mouhib Chamakh,0,0,,1.tn Club Africain
189,Firas Chaouat,0,0,,1.tn Club Africain
190,Luis Ch†vez,0,0,,1.ru Dynamo Moskva
191,Mateo Ch†vez,1,1,100,1.nl AZ Alkmaar
192,Samir Chergui,0,0,,1.fr Paris FC
193,Rayan Cherki,1,1,100,1.eng Manchester City
194,Mathieu Choiniäre,0,0,,1.us LAFC
195,Tahith Chong,4,2,50,2.eng Sheffield United
196,Tom†? Chor?,0,0,,1.cz Slavia Prague
197,Ryan Christie,2,0,0,1.eng Bournemouth
198,Carney Chukwuemeka,2,1,50,1.de Dortmund
199,Mojm°r Chytil,0,0,,1.cz Slavia Prague
200,Brian Cipenga,6,1,16.7,2.es Castell¢n
201,Alessandro Circati,3,0,0,1.it Parma
202,PathÇ Ciss,2,1,50,1.es Rayo Vallecano
203,Livano Comenencia,5,2,40,1.ch ZÅrich
204,Eray Cîmert,0,0,,1.es Valencia
205,Francisco Conceiá?o,2,0,0,1.it Juventus
206,Jhon C¢rdoba,2,1,50,1.ru Krasnodar
207,JosÇ C¢rdoba,0,0,,2.eng Norwich City
208,Derek Cornelius,5,1,20,1.fr Marseille
209,Diogo Costa,0,0,,1.pt Porto
210,Nuno da Costa,1,0,0,1.tr Ba?ak?ehir
211,Samu Costa,0,0,,1.es Mallorca
212,Vladim°r Coufal,1,0,0,1.de Hoffenheim
213,Thibaut Courtois,0,0,,1.es Real Madrid
214,Maxime CrÇpeau,0,0,,1.us Orlando City
215,Max Crocombe,0,0,,2.eng Millwall
216,Pau Cubars°,4,2,50,1.es Barcelona
217,AndrÇs Cubas,1,0,0,1.us Vancouver
218,Cucho,1,0,0,1.es Real Betis
219,Marc Cucurella,5,3,60,1.eng Chelsea
220,Matheus Cunha,11,5,45.5,1.eng Manchester Utd
221,Findlay Curtis,0,0,,1.sct Kilmarnock
222,Aymen Dahmen,0,0,,1.tn Ahly Sfaxien
223,Diogo Dalot,1,0,0,1.eng Manchester Utd
224,Danilo,1,0,0,1.br Flamengo
225,Kevin Danso,1,0,0,1.eng Tottenham
226,Vladim°r Darida,1,0,0,1.cz Hradec Kr†lovÇ
227,Jonathan David,18,8,44.4,1.it Juventus
228,Promise David,5,3,60,1.be Union SG
229,Alphonso Davies,0,0,,1.de Bayern Munich
230,Erick Davis,1,0,0,1.pa Plaza Amador
231,Nasser Al-Dawsari,1,0,0,1.sa Al-Hilal
232,Salem Al-Dawsari,3,0,0,1.sa Al-Hilal
233,Mohammad Al-Dawud,0,0,,1.jo Al-Wehdat SC
234,Kevin De Bruyne,20,5,25,1.it Napoli
235,Maxim De Cuyper,10,6,60,1.eng Brighton
236,Luc De Fougerolles,3,1,33.3,1.eng Fulham
237,Charles De Ketelaere,6,5,83.3,1.it Atalanta
238,Nicol†s De La Cruz,4,2,50,1.br Flamengo
239,Rodrigo De Paul,2,1,50,1.us Inter Miami
240,Amar Dedi?,2,1,50,1.pt Benfica
241,Louicius Deedson,2,0,0,1.us FC Dallas
242,Hannes Delcroix,0,0,,1.ch Lugano
243,Ousmane DembÇlÇ,20,10,50,1.fr PSG
244,Merih Demiral,6,2,33.3,1.sa Al-Ahli
245,Ermedin Demirovi?,4,4,100,1.de Stuttgart
246,Sergi§o Dest,3,1,33.3,1.nl PSV
247,Frans Dhia Putros,0,0,,1.id Persib Bandung
248,Oumar DiakitÇ,0,0,,1.be Cercle Brugge
249,Amad Diallo,8,4,50,1.eng Manchester Utd
250,Assane Diao,0,0,,1.it Como
251,Habib Diarra,4,2,50,1.eng Sunderland
252,R£ben Dias,0,0,,1.eng Manchester City
253,KrÇpin Diatta,1,0,0,1.fr Monaco
254,Mory Diaw,0,0,,1.fr Le Havre
255,Brahim D°az,6,1,16.7,1.es Real Madrid
256,Ismael D°az,6,2,33.3,1.mx Le¢n
257,Luis D°az,19,6,31.6,1.de Bayern Munich
258,Bamba Dieng,0,0,,1.fr Lorient
259,Lucas Digne,2,1,50,1.eng Aston Villa
260,Diney,4,2,50,1.ae Al Bataeh
261,Ousmane Diomande,0,0,,1.pt Sporting CP
262,Yan DiomandÇ,4,0,0,1.de RB Leipzig
263,Issa Diop,1,1,100,1.eng Fulham
264,El Hadji Malick Diouf,0,0,,1.eng West Ham
265,Ritsu Doan,1,0,0,1.de Frankfurt
266,Jeremy Doku,3,1,33.3,1.eng Manchester City
267,Merchas Doski,1,0,0,1.cz Viktoria Plze?
268,David Doud?ra,4,0,0,1.cz Slavia Prague
269,DÇsirÇ DouÇ,13,8,61.5,1.fr PSG
270,GuÇla DouÇ,1,0,0,1.fr Strasbourg
271,Deroy Duarte,3,2,66.7,1.bg Ludogorets
272,Laros Duarte,3,3,100,1.hu Pusk†s Akad.
273,Denzel Dumfries,5,2,40,1.it Inter
274,Jean-Kevin Duverne,1,0,0,1.be Gent
275,Lyndon Dykes,1,0,0,2.eng Charlton Athletic
276,Edin D?eko,3,0,0,2.de Schalke 04
277,Roshon van Eijma,0,0,,2.nl RKC Waalwijk
278,Anthony Elanga,3,3,100,1.eng Newcastle
279,Meschak Elia,2,1,50,1.tr Alanyaspor
280,Callan Elliot,0,0,,1.au Auckland FC
281,Eren Elmal?,0,0,,1.tr Galatasaray
282,Nico Elvedi,3,0,0,1.de Gladbach
283,Breel Embolo,10,5,50,1.fr Rennes
284,Julio Enciso,8,1,12.5,1.fr Strasbourg
285,Endrick,3,0,0,1.fr Lyon
286,Sherzod Esanov,0,0,,1.uz FK Bukhara Nurafshon
287,Fidel Escobar,0,0,,1.cr Saprissa
288,Pervis Estupi§†n,0,0,,1.it Milan
289,Derrick Etienne,0,0,,1.us Toronto FC
290,Stephen Eust†quio,4,1,25,1.pt Porto
291,Martin ExpÇrience,1,0,0,2.fr Nancy
292,Saeid Ezatolahi,6,2,33.3,1.ae Al-Ahli Dubai FC
293,Eberechi Eze,5,0,0,1.eng Arsenal
294,Fabinho,1,0,0,1.sa Al-Ittihad
295,JosÇ Fajardo,1,0,0,1.ec Univ Cat¢lica
296,Odeh Al-Fakhouri,2,1,50,1.eg Pyramids FC
297,Henrik Falchener,0,0,,1.no Viking
298,Marko Farji,0,0,,2.it Venezia
299,Christian Fassnacht,0,0,,1.ch Young Boys
300,Abdul Fatawu Issahaku,3,0,0,2.eng Leicester City
301,Ahmed Fathy,0,0,,1.qa Al-Arabi
302,Hamdy Fathy,0,0,,1.qa Al-Wakrah
303,Ahmed Fatouh,1,1,100,1.eg Zamalek SC
304,Abbosbek Fayzullayev,3,2,66.7,1.tr Ba?ak?ehir
