Rk,Player,Sh,SoT,SoT%,Club
486,Dostonbek Khamdamov,2,0,0,1.uz Pakhtakor Tashkent FK
487,Bilal El Khannouss,6,4,66.7,1.de Stuttgart
488,Rani Khedira,1,0,0,1.de Union Berlin
489,Boualem Khoukhi,3,1,33.3,1.qa Al Sadd
490,Abdukodir Khusanov,0,0,,1.eng Manchester City
491,Joshua Kimmich,5,1,20,1.de Bayern Munich
492,Justin Kluivert,0,0,,1.eng Bournemouth
493,Gregor Kobel,0,0,,1.de Dortmund
494,Orkun KîkáÅ,3,0,0,1.tr Be?ikta?
495,Sead Kola?inac,0,0,,1.it Atalanta
496,Ghislain Konan,4,0,0,1.pt Gil Vicente FC
497,Ibrahima KonatÇ,0,0,,1.eng Liverpool
498,Ismaâl KonÇ,2,0,0,1.it Sassuolo
499,Manu KonÇ,6,2,33.3,1.it Roma
500,Ezri Konsa,3,2,66.7,1.eng Aston Villa
501,Teun Koopmeiners,2,0,0,1.it Juventus
502,Odilon Kossounou,0,0,,1.it Atalanta
503,Kalidou Koulibaly,0,0,,1.sa Al-Hilal
504,Jules KoundÇ,2,0,0,1.es Barcelona
505,Mateo Kova?i?,5,4,80,1.eng Manchester City
506,Matej Kovar,0,0,,1.nl PSV
507,Andrej Kramari?,1,0,0,1.de Hoffenheim
508,Ladislav Krej?°,5,1,20,1.eng Wolves
509,Takefusa Kubo,1,0,0,1.es Real Sociedad
510,Brandley Kuwas,0,0,,1.nl Volendam
511,Prince Kwabena Adu,1,1,100,1.cz Viktoria Plze?
512,Maxence Lacroix,0,0,,1.eng Crystal Palace
513,Gustaf Lagerbielke,3,1,33.3,1.pt Braga
514,Konrad Laimer,1,0,0,1.de Bayern Munich
515,Ali Lajami,0,0,,1.sa Al-Hilal
516,Senne Lammens,0,0,,1.eng Manchester Utd
517,Noa Lang,0,0,,1.tr Galatasaray
518,Sondre LangÜs,0,0,,2.eng Derby County
519,Aymeric Laporte,5,2,40,1.es Athletic Club
520,Cyle Larin,9,4,44.4,1.es Mallorca
521,Richie Laryea,2,1,50,1.us Toronto FC
522,Mohanad Lasheen,2,0,0,
523,Issa Laye,1,0,0,1.qa Al-Arabi
524,Rafael Le?o,4,1,25,1.it Milan
525,Mathew Leckie,1,0,0,1.au Melb City
526,Jefferson Lerma,5,1,20,1.eng Crystal Palace
527,Jamie Leweling,1,0,0,1.de Stuttgart
528,Philipp Lienhart,1,0,0,1.de Freiburg
529,Victor Lindelîf,2,0,0,1.eng Aston Villa
530,Erik Lira,0,0,,1.mx Cruz Azul
531,Dominik Livakovi?,0,0,,1.hr Dinamo Zagreb
532,Dailon Livramento,1,0,0,1.pt Casa Pia
533,Marcos Llorente,0,0,,1.es AtlÇtico Madrid
534,Giovani Lo Celso,1,1,100,1.es Real Betis
535,JÅrgen Locadia,1,0,0,2.us Miami FC
536,Azar°as Londo§o,1,0,0,1.ec Univ Cat¢lica
537,Sidny Lopes Cabral,4,2,50,1.pt Benfica
538,Flaco L¢pez,1,0,0,1.br Palmeiras
539,Derrick Luckassen,1,1,100,1.cy Pafos FC
540,Jhon Lucum°,2,0,0,1.it Bologna
541,JosÇ Luis Rodr°guez,3,1,33.3,1.mx FC Ju†rez
542,Romelu Lukaku,6,3,50,1.it Napoli
543,Dodi Lukebakio,7,1,14.3,1.pt Benfica
544,Jovo Luki?,3,2,66.7,1.ro Univ. Cluj
545,Awer Mabil,1,0,0,2.es Castell¢n
546,Alexis Mac Allister,13,4,30.8,1.eng Liverpool
547,Deiver Machado,0,0,,1.fr Nantes
548,Shuto Machino,0,0,,1.de Gladbach
549,Assim Madibo,0,0,,1.qa Al-Wakrah
550,Noni Madueke,6,1,16.7,1.eng Arsenal
551,Daizen Maeda,2,1,50,1.sct Celtic
552,Gabriel Magalh?es,1,0,0,1.eng Arsenal
553,Ermin Mahmi?,4,2,50,1.cz Slovan Liberec
554,Hadj Mahmoud,0,0,,1.ch Lugano
555,Riyad Mahrez,6,3,50,1.sa Al-Ahli
556,Alexandro Maidana,0,0,,1.ar Talleres?C
557,Mike Maignan,0,0,,1.it Milan
558,Evidence Makgopa,4,3,75,1.za Orlando Pirates
559,Ahmed Maknzi,0,0,,1.iq Al-Karma
560,Donyell Malen,4,2,50,1.it Roma
561,Arjan Malic,0,0,,1.at Sturm Graz
562,Mohamed Manai,0,0,,1.qa Al-Shamal Sports Club
563,Aãssa Mandi,0,0,,1.fr Lille
564,Sadio ManÇ,6,3,50,1.sa Al-Nassr
565,Juan Manuel Sanabria,3,0,0,1.mx AtlÇtico San Luis
566,Johan Manzambi,6,3,50,1.de Freiburg
567,Mahmoud Al-Mardi,1,1,100,1.jo Al-Hussein SC
568,Jearl Margaritha,1,0,0,2.be Beveren
569,Omar Marmoush,11,1,9.1,1.eng Manchester City
570,Marquinhos,2,0,0,1.fr PSG
571,Gabriel Martinelli,2,1,50,1.eng Arsenal
572,Guillermo Mart°nez Ayala,0,0,,1.mx UNAM
573,Cristian Mart°nez,1,0,0,1.il Kiryat Shmona
574,Emiliano Mart°nez,0,0,,1.eng Aston Villa
575,Lautaro Mart°nez,10,4,40,1.it Inter
576,Lisandro Mart°nez,4,2,50,1.eng Manchester Utd
577,Thapelo Maseko,8,1,12.5,1.cy AEL Limassol
578,Hazem Mastouri,3,2,66.7,1.ru D. Makhachkala
579,Arthur Masuaku,0,0,,1.fr Lens
580,Igor Matanovi?,4,2,50,1.de Freiburg
581,Pape Matar Sarr,4,0,0,1.eng Tottenham
582,Jean-Philippe Mateta,3,1,33.3,1.eng Crystal Palace
583,Mauricio,4,3,75,1.br Palmeiras
584,Fiston Mayele,5,1,20,1.eg Pyramids FC
585,Ibrahim Maza,11,3,27.3,1.de Leverkusen
586,Noussair Mazraoui,0,0,,1.eng Manchester Utd
587,Kylian MbappÇ,41,23,56.1,1.es Real Madrid
588,Thalente Mbatha,4,1,25,1.za Orlando Pirates
589,Ibrahim Mbaye,4,1,25,1.fr PSG
590,Chancel Mbemba,1,0,0,1.fr Lille
591,Mbekezeli Mbokazi,4,1,25,1.us Chicago Fire
592,Nathanaâl Mbuku,3,2,66.7,2.fr Montpellier
593,Callum McCowatt,4,3,75,1.dk Silkeborg
594,John McGinn,3,1,33.3,1.eng Aston Villa
595,Scott McKenna,0,0,,1.hr Dinamo Zagreb
596,Weston McKennie,5,1,20,1.it Juventus
597,Mark McKenzie,0,0,,1.fr Toulouse
598,Kenny McLean,1,0,0,2.eng Norwich City
599,Scott McTominay,8,3,37.5,1.it Napoli
600,Brandon Mechele,5,1,20,1.be Club Brugge
601,Facundo Medina,0,0,,1.fr Marseille
602,Yaimar Medina,1,0,0,1.be Genk
603,Hannibal Mejbri,3,1,33.3,1.eng Burnley
604,Amar Memi?,3,1,33.3,1.cz Viktoria Plze?
605,Memphis,0,0,,1.br Corinthians
606,Sultan Mendash,0,0,,1.sa Al-Hilal
607,Lucas Mendes,0,0,,1.qa Al-Wakrah
608,Nuno Mendes,3,1,33.3,1.fr PSG
609,Ryan Mendes,6,0,0,2.tr 76 I?d?r Belediyespor
610,êdouard Mendy,0,0,,1.sa Al-Ahli
611,Gideon Mensah,0,0,,1.fr Auxerre
612,Mikel Merino,5,3,60,1.eng Arsenal
613,Lionel Messi,35,18,51.4,1.us Inter Miami
614,Connor Metcalfe,5,2,40,1.de St Pauli
615,Thomas Meunier,2,1,50,1.fr Lille
616,Liam Millar,1,0,0,2.eng Hull City
617,Kim Min-jae,1,1,100,1.de Bayern Munich
618,Yerry Mina,0,0,,1.it Cagliari
619,Alan Minda,2,0,0,1.br AtlÇtico Mineiro
620,Aubrey Modiba,5,1,20,1.za Sundowns
621,Luka Modri?,1,0,0,1.it Milan
622,Relebohile Mofokeng,3,1,33.3,1.za Orlando Pirates
623,Shahriar Moghanlou,3,0,0,1.ae Al-Ittihad Kalba
624,Milad Mohammadi,1,1,100,1.ir Persepolis
625,Mohammad Mohebi,2,1,50,1.ru Rostov
626,Johan Mojica,3,2,66.7,1.es Mallorca
627,Teboho Mokoena,4,2,50,1.za Sundowns
628,Nahuel Molina,1,0,0,1.es AtlÇtico Madrid
629,Jamiro Monteiro,5,1,20,1.nl Zwolle
630,CÇsar Montes,1,1,100,1.ru Loko Moscow
631,Gonzalo Montiel,1,0,0,1.ar River Plate
632,Kim Moon-hwan,0,0,,1.kr Daejeon Hana
633,Gilberto Mora,5,0,0,1.mx Tijuana
634,Diego Moreira,0,0,,1.fr Strasbourg
635,Steven Moreira,2,0,0,1.us Columbus Crew
636,Tshepang Moremi,0,0,,1.za Orlando Pirates
637,Orlando Mosquera,0,0,,1.sa Al-Fayha
638,Samir El Mourabet,0,0,,1.fr Strasbourg
639,Samuel Moutoussamy,3,0,0,1.gr Atromitos
640,Akmal Mozgovoy,1,0,0,1.uz Pakhtakor Tashkent FK
641,Lionel Mpasi,0,0,,1.fr Le Havre
642,Khuliso Mudau,0,0,,1.za Sundowns
643,Tarik Muharemovic,1,0,0,1.it Sassuolo
644,Miro Muheim,0,0,,1.de Hamburger SV
645,Ngal'Ayel Mukau,1,0,0,1.fr Lille
646,Mert MÅldÅr,3,0,0,1.tr Fenerbaháe
647,Daniel Mu§oz,3,2,66.7,1.eng Crystal Palace
648,Petar Musa,1,1,100,1.us FC Dallas
649,Jamal Musiala,6,1,16.7,1.de Bayern Munich
650,Fernando Muslera,0,0,,1.tr Galatasaray
651,Phillipp Mwene,1,0,0,1.de Mainz 05
652,David M?ller Wolfe,0,0,,1.eng Wolves
653,Y?to Nagatomo,0,0,,1.jp FC Tokyo
654,Keito Nakamura,5,2,40,2.fr Reims
655,Abdallah Nasib,0,0,,1.iq Al-Zawra'a SC
656,Sherzod Nasrullaev,1,1,100,1.uz FC Nasaf
657,Duckens Nazon,1,1,100,1.ir Esteghlal
658,Iliman Ndiaye,3,2,66.7,1.eng Everton
659,Dan Ndoye,16,8,50,1.eng Nottingham
660,Jayden Nelson,1,0,0,1.us Austin FC
661,Ali Nemati,1,0,0,1.ir Foolad
662,Abduvohid Nematov,0,0,,1.uz FC Nasaf
663,Pedro Neto,1,0,0,1.eng Chelsea
664,Manuel Neuer,0,0,,1.de Bayern Munich
665,Jo?o Neves,3,1,33.3,1.fr PSG
666,R£ben Neves,2,0,0,1.sa Al-Hilal
667,Neymar,3,2,66.7,1.br Santos
668,Nathan Ngoy,1,0,0,1.fr Lille
669,Moussa NiakhatÇ,1,0,0,1.fr Lyon
670,Gustaf Nilsson,1,0,0,1.be Club Brugge
671,Felix Nmecha,8,3,37.5,1.de Dortmund
672,Kristoffer Nordfeldt,0,0,,1.se AIK Stockholm
673,Tyrese Noslin,0,0,,1.nl Telstar
674,Ernest Nuamah,0,0,,1.fr Lyon
675,Matheus Nunes,0,0,,1.eng Manchester City
676,Darwin N£§ez,2,0,0,1.sa Al-Hilal
677,Antonio Nusa,6,2,33.3,1.de RB Leipzig
678,Benjamin Nygren,1,0,0,1.sct Celtic
679,?rjan Nyland,0,0,,1.es Sevilla
680,Aiden O'Neill,2,0,0,1.us NYCFC
681,Nico O'Reilly,7,1,14.3,1.eng Manchester City
682,Salim Obaid,0,0,,1.jo Al-Hussein SC
683,Armando Obispo,0,0,,1.nl PSV
684,Guillermo Ochoa,0,0,,1.cy AEL Limassol
685,K?ki Ogawa,3,0,0,1.nl NEC Nijmegen
686,Braian Ojeda,0,0,,1.us Orlando City
687,Noah Okafor,1,0,0,1.eng Leeds United
688,Ime Okon,1,0,0,2.de Hannover 96
689,Paul Okon-Engstler,0,0,,1.au Sydney FC
690,Ben Old,0,0,,2.fr Saint-êtienne
691,Michael Olise,20,5,25,1.de Bayern Munich
692,Math°as Olivera,1,0,0,1.it Napoli
693,Dani Olmo,13,2,15.4,1.es Barcelona
694,Tani Oluwaseyi,8,4,50,1.es Villarreal
695,Ali Olwan,6,3,50,1.qa Al-Sailiya SC
696,Amadou Onana,2,0,0,1.eng Aston Villa
697,Christopher OpÇri,0,0,,1.tr Ba?ak?ehir
698,Jerome Opoku,0,0,,1.tr Ba?ak?ehir
699,Joel Ord¢§ez,2,0,0,1.be Club Brugge
700,Jonathan Osorio,1,0,0,1.us Toronto FC
701,Nicol†s Otamendi,1,0,0,1.pt Benfica
702,Zakaria El Ouahdi,0,0,,1.be Genk
703,Ayoub Al-Oui,0,0,,1.qa Al-Gharafa Sports Club
704,Azzedine Ounahi,5,3,60,1.es Girona
705,Mohammed Al-Owais,0,0,,1.sa Al-Ula
706,Elisha Owusu,0,0,,1.fr Auxerre
707,Mikel Oyarzabal,23,12,52.2,1.es Real Sociedad
708,Salih ôzcan,0,0,,1.de Dortmund
709,Willian Pacho,1,1,100,1.fr PSG
710,Kendry P†ez,0,0,,1.ar River Plate
711,Exequiel Palacios,0,0,,1.de Leverkusen
712,Lucas Paquet†,5,1,20,1.br Flamengo
713,Leandro Paredes,4,1,25,1.ar Boca Juniors
714,Thomas Partey,2,0,0,1.es Villarreal
715,Marco Pa?ali?,3,2,66.7,1.us Orlando City
716,Mario Pa?ali?,4,1,25,1.it Atalanta
717,Nathan Patterson,0,0,,1.eng Everton
718,Jo?o Paulo Fernandes,2,0,0,1.ro FCSB
719,Aleksandar Pavlovic,4,1,25,1.de Bayern Munich
720,Tim Payne,1,0,0,1.au Wellington
721,Nicol†s Paz,1,0,0,1.it Como
722,Marcus Pedersen,1,1,100,1.it Torino
723,Pedri,5,2,40,1.es Barcelona
724,Nicolas PÇpÇ,6,3,50,1.es Villarreal
725,Ricardo Pepi,5,0,0,1.nl PSV
726,Kojo Peprah Oppong,0,0,,1.fr Nice
727,Ivan Peri?i?,2,2,100,1.nl PSV
728,Jens Petter Hauge,0,0,,1.no Bod?/Glimt
729,Charles Pickel,1,0,0,1.es Espanyol
730,Jordan Pickford,0,0,,1.eng Everton
731,Pico,2,0,0,1.ie Shamrock
732,Frantzdy Pierrot,3,1,33.3,1.tr Rizespor
733,Kevin Pina,5,1,20,1.ru Krasnodar
734,Wagner Pina,1,0,0,1.tr Trabzonspor
735,Orbel°n Pineda,1,0,0,1.gr AEK Athens
736,YÇremy Pino,0,0,,1.eng Crystal Palace
737,Isidro Pitta,0,0,,1.br RB Bragantino
738,Johny Placide,0,0,,2.fr Bastia
739,Gonzalo Plata,8,5,62.5,1.br Flamengo
740,Marin Pongra?i?,1,0,0,1.it Fiorentina
741,Jackson Porozo,0,0,,1.mx Tijuana
742,Pedro Porro,7,3,42.9,1.eng Tottenham
743,Stefan Posch,3,0,0,1.de Mainz 05
744,Alexander Prass,0,0,,1.de Hoffenheim
745,?ngelo Preciado,0,0,,1.br AtlÇtico Mineiro
746,Ruben Providence,4,1,25,2.nl Almere City
747,Luk†? Provod,1,0,0,1.cz Slavia Prague
748,Marc Pubill,0,0,,1.es AtlÇtico Madrid
749,Gustavo Puerta,14,5,35.7,2.es Racing Sant
750,Christian Pulisic,4,2,50,1.it Milan
751,Ahmed Qasem,0,0,,1.us Nashville SC
752,Jarell Quansah,0,0,,1.de Leverkusen
753,Juli†n Qui§ones,14,6,42.9,1.sa Al-Qadsiah
754,Alberto Quintero,0,0,,1.pa Plaza Amador
755,Juan Quintero,4,0,0,1.ar River Plate
756,Ramy Rabia,1,1,100,1.ae Al Ain
757,Adrien Rabiot,9,1,11.1,1.it Milan
758,Stjepan Radelji?,1,0,0,1.hr Rijeka
759,Soufiane Rahimi,6,4,66.7,1.ae Al Ain
760,Abdul Rahman Baba,0,0,,1.gr PAOK
761,Anthony Ralston,1,1,100,1.sct Celtic
762,Gonáalo Ramos,2,1,50,1.fr PSG
763,Jiovany Ramos,2,0,0,1.ve Puerto Cabello
764,Jesse Randall,1,0,0,1.au Auckland FC
765,Ra£l Rangel,0,0,,1.mx Guadalajara
766,Raphinha,3,2,66.7,1.es Barcelona
767,Nizar Al Rashdan,2,1,50,1.qa Qatar SC
768,Marcus Rashford,12,5,41.7,1.es Barcelona
769,Nicolas Raskin,2,1,50,1.sct Rangers
770,David Raum,1,1,100,1.de RB Leipzig
771,Noor Al Rawabdeh,1,0,0,1.my Selangor FA
772,Rayan,5,2,40,1.eng Bournemouth
773,Iqraam Rayners,1,0,0,1.za Sundowns
774,Tim Ream,0,0,,1.us Charlotte
775,Tijjani Reijnders,4,2,50,1.eng Manchester City
776,Omar Rekik,1,1,100,1.si NK Maribor
777,Israel Reyes,2,0,0,1.mx AmÇrica
778,Gio Reyna,2,1,50,1.de Gladbach
779,Ramin Rezaeian,4,2,50,1.ir Foolad
780,Chadi Riad,1,0,0,1.eng Crystal Palace
781,Declan Rice,6,3,50,1.eng Arsenal
782,Chris Richards,1,0,0,1.eng Crystal Palace
783,Fabian Rieder,7,2,28.6,1.de Augsburg
784,Richard R°os,5,1,20,1.pt Benfica
785,R¢-R¢,3,1,33.3,1.qa Al Sadd
786,Andy Robertson,0,0,,1.eng Liverpool
787,Antonee Robinson,0,0,,1.eng Fulham
788,Miles Robinson,1,0,0,1.us FC Cincinnati
789,Sergio Rochet,0,0,,1.br Internacional
790,Rodri,7,0,0,1.eng Manchester City
791,Garry Rodrigues,1,0,0,1.cy Apollon Limassol
792,Brian Rodr°guez,3,1,33.3,1.mx AmÇrica
793,James Rodr°guez,6,3,50,1.us Minnesota Utd
794,Kevin Rodr°guez,6,1,16.7,1.be Union SG
795,Ricardo Rodr°guez,1,0,0,1.es Real Betis
796,Tom†s Rodr°guez,1,1,100,1.cr Saprissa
797,Godfried Roemeratoe,0,0,,2.nl RKC Waalwijk
798,Morgan Rogers,3,1,33.3,1.eng Aston Villa
799,Cristian Romero,3,1,33.3,1.eng Tottenham
800,Luis Romo,3,1,33.3,1.mx Guadalajara
801,Cristiano Ronaldo,18,9,50,1.sa Al-Nassr
802,Eloy Room,0,0,,2.us Miami FC
803,Marten de Roon,0,0,,1.it Atalanta
804,Saed Al-Rosan,0,0,,1.jo Al-Hussein SC
805,Antonio RÅdiger,1,0,0,1.es Real Madrid
806,Fabi†n Ruiz Pe§a,8,2,25,1.fr PSG
807,Mathew Ryan,0,0,,1.es Levante
808,Julian Ryerson,0,0,,1.de Dortmund
809,Elias Saad,1,0,0,2.de Hannover 96
810,Marwane SaÉdane,0,0,,1.sa Al-Fateh
811,Mustafa Saadoon,0,0,,1.iq Al-Shorta
812,Mahmoud Saber,3,1,33.3,1.eg ZED
813,Marcel Sabitzer,5,2,40,1.de Dortmund
814,Noah Sadiki,0,0,,1.eng Sunderland
815,Michal Sad°lek,7,3,42.9,1.cz Slavia Prague
816,Alexis Saelemaekers,4,1,25,1.it Milan
817,Ismael Saibari,10,3,30,1.nl PSV
818,Bukayo Saka,13,7,53.8,1.eng Arsenal
819,Mohamed Salah,9,4,44.4,1.eng Liverpool
820,Anass Salah-Eddine,1,0,0,1.nl PSV
821,Nathan Saliba,3,1,33.3,1.be Anderlecht
822,William Saliba,1,0,0,1.eng Arsenal
823,Shurandy Sambo,0,0,,1.nl Sparta R.
824,Antonio Sanabria,0,0,,1.it Cremonese
825,Davinson S†nchez,6,2,33.3,1.tr Galatasaray
826,Jorge S†nchez,1,1,100,1.gr PAOK
827,Alex Sandro,0,0,,1.br Flamengo
828,Leroy SanÇ,6,2,33.3,1.tr Galatasaray
829,Ibrahim SangarÇ,1,0,0,1.eng Nottingham
830,Kaish? Sano,1,1,100,1.de Mainz 05
831,Danilo Santos,2,1,50,1.br Botafogo?RJ
832,Douglas Santos,2,0,0,1.ru Zenit
833,Bara Sapoko Ndiaye,1,1,100,1.de Bayern Munich
834,Ismaila Sarr,17,6,35.3,1.eng Crystal Palace
835,Farrukh Sayfiev,0,0,,1.uz Neftchi FK
836,Amine Sbai,0,0,,1.fr Angers
837,Joe Scally,0,0,,1.de Gladbach
838,Patrik Schick,2,1,50,1.de Leverkusen
839,Andreas Schjelderup,3,2,66.7,1.pt Benfica
840,Alexander Schlager,0,0,,1.at RB Salzburg
841,Xaver Schlager,1,0,0,1.de RB Leipzig
842,Nico Schlotterbeck,2,2,100,1.de Dortmund
843,Romano Schmid,2,1,50,1.de Werder Bremen
844,Kamogelo Sebelebele,0,0,,1.za Orlando Pirates
845,Abdoulaye Seck,2,0,0,1.il Maccabi Haifa
846,Alidu Seidu,0,0,,1.fr Rennes
847,Nicolas Seiwald,3,0,0,1.de RB Leipzig
848,Ayumu Seko,0,0,,1.fr Le Havre
849,Egil Selvik,0,0,,2.eng Watford
850,Ken Sema,1,0,0,1.cy Pafos FC
851,NÇlson Semedo,0,0,,1.tr Fenerbaháe
852,Willy Semedo,3,0,0,1.cy AC Omonia
853,Antoine Semenyo,6,0,0,1.eng Manchester City
854,Marvin Senaya,2,0,0,1.fr Auxerre
855,Marcos Senesi,1,0,0,1.eng Bournemouth
856,Igor Sergeev,0,0,,1.ir Persepolis
857,Jean Seri,0,0,,1.si NK Maribor
858,Kim Seung-gyu,0,0,,1.jp FC Tokyo
859,Paik Seung-ho,0,0,,2.eng Birmingham City
860,Joaquin Seys,0,0,,1.be Club Brugge
861,Jacob Shaffelburg,3,0,0,1.us LAFC
862,Mohammed Abu Al-Shamat,1,1,100,1.sa Al-Qadsiah
863,Lawrence Shankland,4,0,0,1.sct Hearts
864,Sharara,0,0,,1.ma Raja Casablanca
865,Aimar Sher,0,0,,1.no Sarpsborg 08
866,Kento Shiogai,0,0,,1.de Wolfsburg
867,Mostafa Shobeir,0,0,,1.eg Al Ahly
868,Eldor Shomurodov,4,2,50,1.tr Ba?ak?ehir
869,Otabek Shukurov,2,0,0,1.ae Baniyas FC
870,Nkosinathi Sibisi,0,0,,1.za Orlando Pirates
871,Kwasi Sibo,0,0,,1.es Oviedo
872,Niko Sigur,1,0,0,1.hr Hajduk Split
873,Bernardo Silva,1,0,0,1.eng Manchester City
874,êderson Silva,2,0,0,1.it Atalanta
875,Giuliano Simeone,1,0,0,1.es AtlÇtico Madrid
876,Dominique Simon,1,1,100,1.sk 1. FC Tatran Pre?ov B
877,Unai Sim¢n,0,0,,1.es Athletic Club
878,Sarpreet Singh,4,2,50,1.au Wellington
879,Wilfried Singo,2,0,0,1.tr Galatasaray
880,Sphephelo Sithole,0,0,,1.pt Tondela
881,Ellyes Skhiri,0,0,,1.de Frankfurt
882,Alexandr Sojka,0,0,,1.cz Viktoria Plze?
883,Ram¢n Sosa,0,0,,1.br Palmeiras
884,Tom†? Sou?ek,1,0,0,1.eng West Ham
885,Harry Souttar,1,1,100,2.eng Leicester City
886,Djibril Sow,2,1,50,1.es Sevilla
887,Äa?lar SîyÅncÅ,0,0,,1.tr Fenerbaháe
888,Djed Spence,2,2,100,1.eng Tottenham
889,Marko Stamenic,3,0,0,2.eng Swansea City
890,Josip Stani?i?,0,0,,1.de Bayern Munich
891,Carl Starfelt,0,0,,1.es Celta Vigo
892,Ross Stewart,0,0,,2.eng Southampton
893,Angelo Stiller,0,0,,1.de Stuttgart
894,John Stones,1,0,0,1.eng Manchester City
895,J?rgen Strand Larsen,2,1,50,1.eng Crystal Palace
896,Elliot Stroud,1,0,0,1.se MjÑllby
897,Luis Su†rez,9,0,0,1.pt Sporting CP
898,Luka Su?i?,1,0,0,1.es Real Sociedad
899,Petar Su?i?,3,2,66.7,1.it Inter
900,Yukinari Sugawara,2,2,100,1.de Werder Bremen
901,Rebin Sulaka,1,0,0,1.th Port FC
902,Pavel ?ulc,2,0,0,1.fr Lyon
903,Kamaldeen Sulemana,1,0,0,1.us Atlanta Utd
904,Crysencio Summerville,2,2,100,1.eng West Ham
905,Ivan ?unji?,1,1,100,1.cy Pafos FC
906,Finn Surman,2,1,50,1.us Portland Timbers
907,Josip ?utalo,1,0,0,1.nl Ajax
908,Junnosuke Suzuki,0,0,,1.dk FC Copenhagen
909,Yuito Suzuki,0,0,,1.de Freiburg
910,Zion Suzuki,0,0,,1.it Parma
911,Mattias Svanberg,3,2,66.7,1.de Wolfsburg
912,Daniel Svensson,1,0,0,1.de Dortmund
913,Alexander S?rloth,5,0,0,1.es AtlÇtico Madrid
914,Musa Al-Taamari,8,3,37.5,1.fr Rennes
915,Haris Tabakovi?,0,0,,2.de Schalke 04
916,Lee Tae-seok,0,0,,1.at Austria Wien
917,Nicol†s Tagliafico,0,0,,1.fr Lyon
918,Jonathan Tah,1,1,100,1.de Bayern Munich
919,Benjamin Tahirovic,1,0,0,1.dk Br?ndby
920,Zaid Tahseen,2,0,0,1.uz Pakhtakor Tashkent FK
921,Chemsdine Talbi,2,0,0,1.eng Sunderland
922,Montassar Talbi,1,0,0,1.fr Lorient
923,Hassan Al Tambakti,0,0,,1.sa Al-Hilal
924,Ao Tanaka,2,0,0,1.eng Leeds United
925,Shogo Taniguchi,0,0,,1.be Sint-Truiden
926,Mehdi Taremi,5,2,40,1.gr Olympiacos
927,AurÇlien TchouamÇni,3,0,0,1.es Real Madrid
928,Arthur Theate,5,1,20,1.de Frankfurt
929,Igor Thiago,2,1,50,1.eng Brentford
930,Malick Thiaw,0,0,,1.eng Newcastle
931,Ryan Thomas,0,0,,1.nl Zwolle
932,Brandon Thomas-Asante,1,0,0,2.eng Coventry City
933,Morten Thorsby,0,0,,1.it Cremonese
934,Kristian Thorstvedt,3,1,33.3,1.it Sassuolo
935,Marcus Thuram,0,0,,1.it Inter
936,Youri Tielemans,11,3,27.3,1.eng Aston Villa
937,Kieran Tierney,2,0,0,1.sct Celtic
938,Guus Til,0,0,,1.nl PSV
939,Malik Tillman,8,4,50,1.de Leverkusen
940,Quinten Timber,0,0,,1.fr Marseille
941,Takehiro Tomiyasu,1,0,0,1.nl Ajax
942,Ivan Toney,2,1,50,1.sa Al-Ahli
943,Mehdi Torabi,0,0,,1.ir Tractor
944,FÇlix Torres Caicedo,0,0,,1.br Internacional
945,Ferran Torres,14,4,28.6,1.es Barcelona
946,Sebastian Tounekti,0,0,,1.sct Celtic
947,Bazoumana TourÇ,0,0,,1.de Hoffenheim
948,Mo TourÇ,4,1,25,2.eng Norwich City
949,Kai Trewin,1,0,0,1.us NYCFC
950,TrÇzÇguet,8,3,37.5,1.eg Al Ahly
951,Francisco Trinc?o,1,0,0,1.pt Sporting CP
952,Leandro Trossard,17,3,17.6,1.eng Arsenal
953,Auston Trusty,3,2,66.7,1.sct Celtic
954,Axel Tuanzebe,0,0,,1.eng Burnley
955,Matt Turner,0,0,,1.us NE Revolution
956,Ayase Ueda,9,4,44.4,1.nl Feyenoord
957,Manuel Ugarte,3,1,33.3,1.eng Manchester Utd
958,Deniz Undav,6,4,66.7,1.de Stuttgart
959,Dayot Upamecano,4,2,50,1.de Bayern Munich
960,Jakhongir Urozov,0,0,,1.uz FK Dinamo Samarqand
961,Oston Urunov,0,0,,1.ir Persepolis
962,Can Uzun,4,1,25,1.de Frankfurt
963,Enner Valencia,10,6,60,1.mx Pachuca
964,Yan Valery,0,0,,1.ch Young Boys
965,Federico Valverde,10,2,20,1.es Real Madrid
966,Virgil van Dijk,2,2,100,1.eng Liverpool
967,Hans Vanaken,5,1,20,1.be Club Brugge
968,Guillermo Varela,2,0,0,1.br Flamengo
969,HÇlio Varela,3,1,33.3,1.il Maccabi Tel Aviv
970,Camilo Vargas,0,0,,1.mx Atlas
971,Obed Vargas,1,1,100,1.es AtlÇtico Madrid
972,Ruben Vargas,6,4,66.7,1.es Sevilla
973,Nikola Vasilj,0,0,,1.de St Pauli
974,Johan V†squez,1,0,0,1.it Genoa
975,Alexis Vega,0,0,,1.mx Toluca
976,Renato Veiga,2,0,0,1.es Villarreal
977,Gustavo Vel†squez,0,0,,1.py Cerro Porte§o
978,Nishan Velupillay,0,0,,1.au Melb. Victory
979,Micky van de Ven,3,1,33.3,1.eng Tottenham
980,Bart Verbruggen,0,0,,1.eng Brighton
981,Mat°as Vi§a,0,0,,1.br Flamengo
982,Federico Vi§as,6,3,50,1.es Oviedo
983,Denis Vi?insk?,3,0,0,1.cz Viktoria Plze?
